MAG_id,Food fermentation,Species_id,Genome size (bp),Completeness (%),Contamination (%),Quality assessment,Domain,Phylum,Class,Order,Family,Genus,Species
MAG_22,Milk kefir,Species_127,2691977,98.79 ,0.66 ,High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium freudenreichii
MAG_23,Cheese ,Species_141,2859668,78.03 ,7.97 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__Microbacterium gubbeenense
MAG_24,Coffee ,Species_280,1986641,50.34 ,1.72 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Loigolactobacillus,s__Loigolactobacillus bifermentans
MAG_25,Coffee ,Species_277,1666608,80.27 ,2.09 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis
MAG_26,Chinese liquor,Species_19,1674162,98.09 ,1.79 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Leuconostoc,s__Leuconostoc citreum
MAG_27,Nunu,Species_177,2661231,99.62 ,0.00 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_B,s__Enterococcus_B faecium_B
MAG_28,Milk kefir,Species_40,2275289,99.06 ,0.16 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Levilactobacillus,s__Levilactobacillus brevis
MAG_29,Cheese ,Species_140,2054462,75.10 ,0.58 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__Brevibacterium yomogidense
MAG_30,Chinese liquor,Species_68,3677296,54.40 ,5.50 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus paralicheniformis
MAG_31,Kombucha,Species_82,3806945,95.92 ,3.04 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Methyloversatilis,s__Methyloversatilis discipulorum_A
MAG_32,Cheese ,Species_6,1659594,97.21 ,1.57 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Leuconostoc,s__Leuconostoc carnosum
MAG_33,Soy sauce,Species_246,4257025,99.00 ,3.00 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Virgibacillus,s__Virgibacillus dokdonensis
MAG_34,Wine,Species_107,2482570,99.27 ,0.20 ,High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes
MAG_35,Soy sauce,Species_160,2704170,99.57 ,0.00 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas,s__unknown20
MAG_36,Yoghurt,Species_256,1905255,84.02 ,7.14 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus acidophilus
MAG_37,Kombucha,Species_219,2951098,96.30 ,0.00 ,High,d__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__OS-L,f__GBS-DC,g__GBS-DC,s__GBS-DC sp001442985
MAG_38,Cheese ,Species_199,2410245,97.99 ,6.40 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Tetragenococcus,s__Tetragenococcus koreensis
MAG_39,Milk kefir,Species_26,1689130,52.65 ,3.32 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lentilactobacillus,s__Lentilactobacillus kefiri
MAG_40,Chilli paste,Species_170,4574311,98.86 ,0.51 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter himalayensis
MAG_41,Nunu,Species_290,1434271,77.39 ,1.42 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus fermentum
MAG_42,Cheese ,Species_132,2431185,66.96 ,7.83 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__unknown127
MAG_43,Cheese ,Species_134,3305000,97.91 ,1.69 ,High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__unknown96
MAG_44,Chinese liquor,Species_45,1648615,90.38 ,1.23 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus,s__Pediococcus acidilactici
MAG_45,Bean paste,Species_133,2560056,85.45 ,0.19 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_D,s__Enterococcus_D casseliflavus
MAG_46,Chinese liquor,Species_288,1752300,99.06 ,1.20 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__unknown76
MAG_47,Cheese ,Species_129,3445545,80.92 ,4.43 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Ancrocorticia,s__Ancrocorticia populi
MAG_48,Kombucha,Species_69,2825412,98.12 ,6.09 ,Medium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Komagataeibacter,s__Komagataeibacter xylinus_C
MAG_49,Nunu,Species_17,1737223,100.00 ,0.00 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Leuconostoc,s__Leuconostoc pseudomesenteroides
MAG_50,Cheese ,Species_229,2183588,87.18 ,2.69 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus equorum
MAG_51,Cheese ,Species_185,2499117,53.73 ,1.42 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,s__Vibrio casei
MAG_52,Kombucha,Species_98,2707193,90.48 ,0.55 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__unknown2,s__unknown36
MAG_53,Bean paste,Species_292,5053502,78.89 ,6.81 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_C,g__Bacillus_U,s__Bacillus_U oleronius
MAG_54,Chinese liquor,Species_260,1314780,95.83 ,3.27 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus acetotolerans
MAG_55,Yoghurt,Species_34,929550,55.57 ,0.06 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus delbrueckii
MAG_56,Cheese ,Species_176,3141048,74.34 ,1.82 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Serratia,s__Serratia proteamaculans_B
MAG_57,Bean paste,Species_146,1715057,60.49 ,0.44 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium stationis
MAG_58,Milk kefir,Species_34,1356639,67.43 ,1.03 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus delbrueckii
MAG_59,Kimchi,Species_23,3819711,63.79 ,6.90 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Latilactobacillus,s__unknown42
MAG_60,Chinese liquor,Species_289,1791522,98.91 ,0.83 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus pontis
MAG_61,Cheese ,Species_277,2249436,89.59 ,1.16 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis
MAG_62,Bean paste,Species_264,6936647,78.57 ,6.69 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_G,g__Bacillus_A,s__unknown143
MAG_63,Bean paste,Species_133,2558475,83.56 ,2.20 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_D,s__Enterococcus_D casseliflavus
MAG_64,Milk kefir,Species_290,1505296,74.64 ,0.02 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus fermentum
MAG_65,Chilli paste,Species_58,1838748,89.24 ,3.40 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Companilactobacillus,s__Companilactobacillus versmoldensis
MAG_66,Cheese ,Species_44,1751144,62.69 ,0.37 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactiplantibacillus,s__Lactiplantibacillus plantarum
MAG_67,Yoghurt,Species_44,3469796,96.19 ,4.52 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactiplantibacillus,s__Lactiplantibacillus plantarum
MAG_68,Bean paste,Species_144,3059160,93.10 ,5.32 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_D,s__Enterococcus_D gallinarum
MAG_69,Chinese liquor,Species_244,3453065,95.13 ,8.00 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Caldibacillaceae,g__Bacillus_J,s__Bacillus_J thermoamylovorans
MAG_70,Coffee ,Species_72,2209237,88.25 ,2.78 ,Medium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acetobacter,s__Acetobacter sp002153485
MAG_71,Chilli paste,Species_48,1628306,86.38 ,0.24 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus,s__Pediococcus ethanolidurans
MAG_72,Cheese ,Species_187,4685330,100.00 ,0.52 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Marinomonadaceae,g__Marinomonas,s__Marinomonas sp000017285
MAG_73,Cheese ,Species_204,2850684,99.36 ,0.55 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter sp002366815
MAG_74,Cheese ,Species_132,3198414,87.16 ,8.26 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__unknown101
MAG_75,Chinese liquor,Species_282,1797745,85.83 ,4.05 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lacticaseibacillus,s__Lacticaseibacillus sp004010095
MAG_76,Cheese ,Species_250,2087286,97.81 ,0.73 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Marinilactibacillus,s__Marinilactibacillus piezotolerans_A
MAG_77,Yoghurt,Species_284,2697753,82.00 ,0.00 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lacticaseibacillus,s__Lacticaseibacillus paracasei
MAG_78,Cheese ,Species_277,2205363,73.51 ,5.33 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis
MAG_79,Cheese ,Species_148,2399383,56.97 ,1.63 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__Brevibacterium aurantiacum
MAG_80,Kimchi,Species_12,1409778,71.73 ,9.87 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Weissella,s__Weissella koreensis
MAG_81,Cheese ,Species_274,1319786,59.06 ,5.91 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis_E
MAG_82,Cheese ,Species_103,3877167,99.14 ,0.43 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Cobetia,s__Cobetia amphilecti
MAG_83,Cheese ,Species_183,2681489,76.76 ,0.00 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Proteus,s__unknown118
MAG_84,Cheese ,Species_269,1880367,99.89 ,0.80 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus thermophilus
MAG_85,Cheese ,Species_274,1886736,50.00 ,0.00 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis_E
MAG_86,Cheese ,Species_269,1784092,89.15 ,1.29 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus thermophilus
MAG_87,Koumiss,Species_166,2540783,99.25 ,0.01 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_B,s__Enterococcus_B faecium
MAG_88,Cheese ,Species_258,900801,57.28 ,0.34 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus helveticus
MAG_89,Cheese ,Species_176,4624615,94.56 ,1.97 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Serratia,s__Serratia proteamaculans_B
MAG_90,Cheese ,Species_193,3717971,91.88 ,1.46 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas distincta
MAG_91,Coffee ,Species_277,999661,66.09 ,8.46 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis
MAG_92,Yoghurt,Species_269,1664794,87.98 ,3.37 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus thermophilus
MAG_93,Cheese ,Species_258,1663021,97.08 ,6.35 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus helveticus
MAG_94,Nunu,Species_253,2920659,88.49 ,1.95 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter baumannii
MAG_95,Coffee ,Species_16,986987,54.25 ,1.76 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Leuconostoc,s__Leuconostoc pseudomesenteroides_A
MAG_96,Nunu,Species_165,3704351,84.30 ,1.97 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae
MAG_97,Bean paste,Species_111,4133280,98.67 ,1.00 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_D,g__Bacillus_H,s__Bacillus_H rhizosphaerae
MAG_98,Kombucha,Species_89,3526943,79.40 ,3.25 ,Medium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unknown34
MAG_99,Soy sauce,Species_177,2623152,96.42 ,2.76 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_B,s__Enterococcus_B faecium_B
MAG_100,Soy sauce,Species_1,2903437,95.77 ,1.58 ,High,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__SIT17,g__Senegalia,s__unknown16
MAG_101,Cheese ,Species_258,1056173,67.24 ,0.28 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus helveticus
MAG_102,Cheese ,Species_212,3881253,100.00 ,1.10 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas,s__Halomonas sp002332255
MAG_103,Soy sauce,Species_188,2504266,85.68 ,7.22 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Tetragenococcus,s__Tetragenococcus halophilus
MAG_104,Koumiss,Species_277,1327728,52.54 ,1.72 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis
MAG_105,Cheese ,Species_206,2405890,70.14 ,2.37 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter sp001652315
MAG_106,Cheese ,Species_125,3659576,97.12 ,1.75 ,High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermabacteraceae,g__Brachybacterium,s__unknown90
MAG_107,Nunu,Species_263,1274426,67.86 ,8.62 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_G,g__Bacillus_A,s__Bacillus_A cereus
MAG_108,Chinese liquor,Species_44,1660753,58.62 ,3.45 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactiplantibacillus,s__Lactiplantibacillus plantarum
MAG_109,Coffee ,Species_72,1849343,68.97 ,0.00 ,Medium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acetobacter,s__Acetobacter sp002153485
MAG_110,Cheese ,Species_132,2571382,79.33 ,2.13 ,Medium,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__unknown122
MAG_111,Kombucha,Species_107,2512928,98.03 ,1.38 ,High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes
MAG_112,Soy sauce,Species_234,2899132,99.45 ,1.10 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus nepalensis
MAG_113,Yoghurt,Species_274,1956345,71.16 ,7.77 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus lactis_E
MAG_114,Cheese ,Species_194,3363481,59.60 ,8.40 ,Medium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas nigrifaciens
MAG_115,Nunu,Species_290,1451572,83.85 ,2.65 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus fermentum
MAG_116,Coffee ,Species_16,1136767,51.90 ,1.59 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Leuconostoc,s__Leuconostoc pseudomesenteroides_A
MAG_117,Cheese ,Species_44,2750983,89.41 ,6.37 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactiplantibacillus,s__Lactiplantibacillus plantarum
MAG_118,Cheese ,Species_145,3025928,99.12 ,0.44 ,High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium casei
MAG_119,Milk kefir,Species_269,1459609,76.22 ,0.15 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus thermophilus
MAG_120,Soy sauce,Species_221,1317744,50.21 ,0.26 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Kroppenstedtia,s__unknown24
MAG_121,Chinese liquor,Species_76,2394113,67.16 ,7.46 ,Medium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acetobacter,s__Acetobacter indonesiensis
MAG_122,Cheese ,Species_164,4398221,98.57 ,0.04 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia flexneri
MAG_123,Coffee ,Species_73,1882965,68.31 ,4.44 ,Medium,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acetobacter,s__Acetobacter orientalis
MAG_124,Cheese ,Species_170,4933670,99.35 ,0.58 ,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter himalayensis
MAG_125,Bean paste,Species_177,2648190,99.62 ,0.00 ,High,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_B,s__Enterococcus_B faecium_B
MAG_126,Kimchi,Species_22,2473621,66.83 ,0.54 ,Medium,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Latilactobacillus,s__Latilactobacillus curvatus
