mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	phylo_group	study_catalog	source
LeechJ_xxxx__AF89__bin.1	fufu	fufu	cassava	tuber_root	fermented_cassava	99.47643979	0.523560209	74	2294031	36.64	65207	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_nagelii	Firmicutes	Carlino2024	LeechJ_xxxx__AF89
LeechJ_xxxx__AF89__bin.5	fufu	fufu	cassava	tuber_root	fermented_cassava	91.88311688	0	44	1610172	50.71	77374	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	Firmicutes	Carlino2024	LeechJ_xxxx__AF89
LeechJ_xxxx__AF89__bin.8	fufu	fufu	cassava	tuber_root	fermented_cassava	86.46512721	1.275045537	181	1356934	53.65	8780	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	Firmicutes	Carlino2024	LeechJ_xxxx__AF89
LeechJ_xxxx__AF03__bin.2	gari	gari	cassava	tuber_root	fermented_cassava	66.66666667	0	136	1155897	44.85	12288	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	Firmicutes	Carlino2024	LeechJ_xxxx__AF03
LeechJ_xxxx__AF03__bin.7	gari	gari	cassava	tuber_root	fermented_cassava	70.19886364	2.5	95	916068	46.28	14906	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_SGB64258	Firmicutes	Carlino2024	LeechJ_xxxx__AF03
LeechJ_xxxx__AF54__bin.3	gari	gari	cassava	tuber_root	fermented_cassava	94.2325856	0.334513971	169	1521496	50.84	13000	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	Firmicutes	Carlino2024	LeechJ_xxxx__AF54
LeechJ_xxxx__AF54__bin.8	gari	gari	cassava	tuber_root	fermented_cassava	57.8125	0	9	848420	45.57	256415	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_SGB64258	Firmicutes	Carlino2024	LeechJ_xxxx__AF54
LeechJ_xxxx__AF69__bin.4	gari	gari	cassava	tuber_root	fermented_cassava	83.41696183	0.211038961	136	1374320	51.06	17167	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	Firmicutes	Carlino2024	LeechJ_xxxx__AF69
LeechJ_xxxx__AF69__bin.6	gari	gari	cassava	tuber_root	fermented_cassava	60.34482759	0	53	927099	35.98	44836	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_SGB69402	Firmicutes	Carlino2024	LeechJ_xxxx__AF69
LeechJ_xxxx__AF69__bin.8	gari	gari	cassava	tuber_root	fermented_cassava	50.96509783	0.318761384	167	688410	52.8	4806	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	Firmicutes	Carlino2024	LeechJ_xxxx__AF69
LeechJ_xxxx__AF84__bin.17	gari	gari	cassava	tuber_root	fermented_cassava	75.60961279	0.068306011	155	984868	53.15	9236	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	Firmicutes	Carlino2024	LeechJ_xxxx__AF84
LeechJ_xxxx__AF84__bin.3	gari	gari	cassava	tuber_root	fermented_cassava	51.75377937	1.152597403	150	849520	38.73	8520	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_SGB96953	Firmicutes	Carlino2024	LeechJ_xxxx__AF84
LeechJ_xxxx__AF84__bin.30	gari	gari	cassava	tuber_root	fermented_cassava	98.68519585	0.664457071	90	4466613	52.87	82890	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lelliottia	Lelliottia_amnigena	Proteobacteria	Carlino2024	LeechJ_xxxx__AF84
LeechJ_xxxx__AF25__bin.5	kantong	kantong	cassava_kapok_seeds	tuber_root	fermented_cassava	97.8125	0.3125	7	1293562	33.14	257518	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	GGB71223	GGB71223_SGB96962	Firmicutes	Carlino2024	LeechJ_xxxx__AF25
LeechJ_xxxx__AF53__bin.11	lafun	lafun	cassava	tuber_root	fermented_cassava	94.56521739	1.630434783	145	1771428	48.52	18175	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_panis	Firmicutes	Carlino2024	LeechJ_xxxx__AF53
LeechJ_xxxx__AF53__bin.12	lafun	lafun	cassava	tuber_root	fermented_cassava	53.44827586	1.724137931	93	835400	35.75	15736	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_SGB69402	Firmicutes	Carlino2024	LeechJ_xxxx__AF53
LeechJ_xxxx__AF53__bin.2	lafun	lafun	cassava	tuber_root	fermented_cassava	95.77922078	0	137	1657329	51.01	17736	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	Firmicutes	Carlino2024	LeechJ_xxxx__AF53
LeechJ_xxxx__AF53__bin.9	lafun	lafun	cassava	tuber_root	fermented_cassava	98.08743169	0	139	1711125	53.3	24285	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	Firmicutes	Carlino2024	LeechJ_xxxx__AF53
LeechJ_xxxx__AF70__bin.2	lafun	lafun	cassava	tuber_root	fermented_cassava	53.44827586	0	106	888731	35.79	13408	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	Firmicutes	Carlino2024	LeechJ_xxxx__AF70
LeechJ_xxxx__AF81__bin.1	mou	mou	cassava	tuber_root	fermented_cassava	85.68539022	0.316011236	86	1350067	44.49	38332	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB48612	Firmicutes	Carlino2024	LeechJ_xxxx__AF81
LeechJ_xxxx__AF81__bin.10	mou	mou	cassava	tuber_root	fermented_cassava	98.49726776	1.183970856	148	1726245	53.23	17367	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	Firmicutes	Carlino2024	LeechJ_xxxx__AF81
LeechJ_xxxx__AF81__bin.6	mou	mou	cassava	tuber_root	fermented_cassava	98.91304348	0.543478261	130	1827895	36.01	22656	Bacteria	Firmicutes	CFGB53347	OFGB53347	FGB53347	GGB71179	GGB71179_SGB96914	Firmicutes	Carlino2024	LeechJ_xxxx__AF81
MAG_125	bean paste	bean_paste	soybean	legume	fermented_soybean	99.62	0	68	2648190	38.3	84448	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium_B	Firmicutes	Du2023	NA
MAG_139	bean paste	bean_paste	soybean	legume	fermented_soybean	98.27	9.95	125	4752767	45.47	109597	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	Firmicutes	Du2023	NA
MAG_163	bean paste	bean_paste	soybean	legume	fermented_soybean	99.45	1.66	47	2884118	32.84	146122	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus nepalensis	Firmicutes	Du2023	NA
MAG_196	bean paste	bean_paste	soybean	legume	fermented_soybean	100	0.22	30	3801552	42.85	217210	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unknown145	Proteobacteria	Du2023	NA
MAG_590	bean paste	bean_paste	soybean	legume	fermented_soybean	50.23	0	87	1063947	34.43	22084	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	unknown160	Firmicutes	Du2023	NA
MAG_591	bean paste	bean_paste	soybean	legume	fermented_soybean	57.1	8.85	180	1064230	34.4	6634	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	unknown159	Firmicutes	Du2023	NA
MAG_592	bean paste	bean_paste	soybean	legume	fermented_soybean	96.68	0.81	199	3599997	44.11	32618	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Firmicutes	Du2023	NA
MAG_593	bean paste	bean_paste	soybean	legume	fermented_soybean	96.89	2.21	50	2898324	31.78	128860	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus_A	Staphylococcus_A lentus	Firmicutes	Du2023	NA
MAG_594	bean paste	bean_paste	soybean	legume	fermented_soybean	94.48	2.39	100	2589850	32.42	42529	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus_A	Staphylococcus_A sciuri	Firmicutes	Du2023	NA
MAG_598	bean paste	bean_paste	soybean	legume	fermented_soybean	99.55	0.6	120	2770992	37.56	42213	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Firmicutes	Du2023	NA
MAG_599	bean paste	bean_paste	soybean	legume	fermented_soybean	98.95	1.93	54	2776312	32.99	115637	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	Firmicutes	Du2023	NA
MAG_603	bean paste	bean_paste	soybean	legume	fermented_soybean	95.2	0.92	188	2663885	32.37	25165	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	Vagococcus fluvialis	Firmicutes	Du2023	NA
MAG_606	bean paste	bean_paste	soybean	legume	fermented_soybean	98.28	4.21	48	2569775	41.13	437497	Bacteria	Firmicutes	Bacilli	Staphylococcales	Salinicoccaceae	Jeotgalicoccus	Jeotgalicoccus nanhaiensis	Firmicutes	Du2023	NA
MAG_68	bean paste	bean_paste	soybean	legume	fermented_soybean	93.1	5.32	134	3059160	40.83	49081	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D gallinarum	Firmicutes	Du2023	NA
MAG_8	bean paste	bean_paste	soybean	legume	fermented_soybean	100	0	19	3822185	37.82	389948	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus cibarius	Proteobacteria	Du2023	NA
MAG_97	bean paste	bean_paste	soybean	legume	fermented_soybean	98.67	1	35	4133280	44.71	212762	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_D	Bacillus_H	Bacillus_H rhizosphaerae	Firmicutes	Du2023	NA
XieM_2019__SAMC044639__bin.1	soybean	dajiang-meju	soybean	legumes	fermented_soybean	87.2863716	2.914110429	169	2179938	44.97	24430	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	Firmicutes	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.19	soybean	dajiang-meju	soybean	legumes	fermented_soybean	94.0625	0	104	2159753	46.28	35635	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	Firmicutes	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.20	soybean	dajiang-meju	soybean	legumes	fermented_soybean	98.85124611	0	30	3570483	67.07	243268	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Aquabacterium	Aquabacterium_commune	Proteobacteria	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.28	soybean	dajiang-meju	soybean	legumes	fermented_soybean	53.11529947	0.062358277	41	2117360	55.34	91204	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lelliottia	Lelliottia_amnigena	Proteobacteria	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.3	soybean	dajiang-meju	soybean	legumes	fermented_soybean	91.65644172	4.447852761	70	1441878	41.2	32033	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_viridescens	Firmicutes	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.30	soybean	dajiang-meju	soybean	legumes	fermented_soybean	97.47826378	2.959470305	110	2023501	39.02	40623	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_citreum	Firmicutes	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.31	soybean	dajiang-meju	soybean	legumes	fermented_soybean	75.15673981	1.724137931	50	4723105	52.17	163711	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter_braakii	Proteobacteria	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.32	soybean	dajiang-meju	soybean	legumes	fermented_soybean	97.32240437	1.879781421	45	4586097	55.4	171552	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	Proteobacteria	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.4	soybean	dajiang-meju	soybean	legumes	fermented_soybean	74.58563536	1.104972376	9	1521277	31.66	389273	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_lentus	Firmicutes	Carlino2024	XieM_2019__SAMC044639
XieM_2019__SAMC044639__bin.9	soybean	dajiang-meju	soybean	legumes	fermented_soybean	97.39577099	0.228528912	70	4419635	55.94	106449	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_cloacae	Proteobacteria	Carlino2024	XieM_2019__SAMC044639
GCF_003573535.1_ASM357353v1_genomic	fermented soybean meal	fermented_soybean_meal	soybean	legumes	fermented_soybean	99.48	1.31	16	2465902	35.56	266986	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus formosensis	Firmicutes	Caffrey2024	NCBI
EBC_082.15	furu #2	furu	soybean	legume	fermented_soybean	92.69	4.54	82	4704439	56.28	103369	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia cowanii	Proteobacteria	Caffrey2024	This paper
EBC_082.8	furu #2	furu	soybean	legume	fermented_soybean	95.03	1.19	151	3177662	38.48	31121	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	Proteobacteria	Caffrey2024	This paper
GCF_009913915.1_ASM991391v1_genomic	gochujang	gochujang	soybean	legume	fermented_soybean	100	0	3	2058732	37.69	1988249	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc mesenteroides	Firmicutes	Caffrey2024	NCBI
EBC_080.1	dofu mold	hairy_tofu	soybean	legume	fermented_soybean	96.07	3.48	35	4755676	55.63	247589	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	Erwinia persicina	Proteobacteria	Caffrey2024	This paper
KumarJ_2019__SRS4562500__bin.13	soybean	kinema	soybean	legumes	fermented_soybean	93.37016575	3.810966554	179	3105032	31.69	40043	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_lentus	Firmicutes	Carlino2024	KumarJ_2019__SRS4562500
KumarJ_2019__SRS4562500__bin.6	soybean	kinema	soybean	legumes	fermented_soybean	97.2972973	0	25	3770096	37.77	242171	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus_terrae	Proteobacteria	Carlino2024	KumarJ_2019__SRS4562500
KumarJ_2019__SRS4562501__bin.6	soybean	kinema	soybean	legumes	fermented_soybean	96.88706707	3.867403315	54	2918376	31.77	128860	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_lentus	Firmicutes	Carlino2024	KumarJ_2019__SRS4562501
KumarJ_2019__SRS4562502__bin.13	soybean	kinema	soybean	legumes	fermented_soybean	75	1.38121547	112	1411185	31.75	21118	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_lentus	Firmicutes	Carlino2024	KumarJ_2019__SRS4562502
KumarJ_2019__SRS4562502__bin.8	soybean	kinema	soybean	legumes	fermented_soybean	86.20689655	1.724137931	90	2683424	33.04	75537	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_gallinarum	Firmicutes	Carlino2024	KumarJ_2019__SRS4562502
KumarJ_2019__SRS4562502__bin.9	soybean	kinema	soybean	legumes	fermented_soybean	88.18594735	1.340996169	27	2073242	41.55	111946	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus	Jeotgalicoccus_halotolerans	Firmicutes	Carlino2024	KumarJ_2019__SRS4562502
KumarJ_2019__SRS4562503__bin.1	soybean	kinema	soybean	legumes	fermented_soybean	88.5270846	2.075471698	136	2797547	41	31457	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_gallinarum	Firmicutes	Carlino2024	KumarJ_2019__SRS4562503
KumarJ_2019__SRS4562503__bin.3	soybean	kinema	soybean	legumes	fermented_soybean	97.84644195	0.63670412	189	2713558	37.65	19706	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecalis	Firmicutes	Carlino2024	KumarJ_2019__SRS4562503
KumarJ_2019__SRS4562503__bin.5	soybean	kinema	soybean	legumes	fermented_soybean	98.89502762	1.657458564	60	2800258	32.96	93343	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_gallinarum	Firmicutes	Carlino2024	KumarJ_2019__SRS4562503
KumarJ_2019__SRS4562503__bin.9	soybean	kinema	soybean	legumes	fermented_soybean	89.65517241	1.340996169	14	2289196	41.13	324858	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus	Jeotgalicoccus_halotolerans	Firmicutes	Carlino2024	KumarJ_2019__SRS4562503
EBC_088.16	burmese natto	natto	soybean	legume	fermented_soybean	96.18	1.36	101	4744704	52.05	92070	Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	Brevibacillus borstelensis	Firmicutes	Caffrey2024	This paper
EBC_088.5	burmese natto	natto	soybean	legume	fermented_soybean	98.33	0.72	84	4142074	46.52	98731	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus glycinifermentans	Firmicutes	Caffrey2024	This paper
EBC_088.26	burmese natto	natto	soybean	legume	fermented_soybean	95.26	1.44	134	1980960	37.66	29246	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macedonicus	Firmicutes	Caffrey2024	This paper
EBC_084.33	shoyu	soy_sauce	soybean	legume	fermented_soybean	63.79	3.45	70	2812740	60.8	66942	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Chromohalobacter	Chromohalobacter sp.	Proteobacteria	Caffrey2024	This paper
EBC_098.21	cinsoy s-21-v1	soy_sauce	soybean	legume	fermented_soybean	99.48	1.31	60	2334748	36.48	59679	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus farciminis	Firmicutes	Caffrey2024	This paper
MAG_100	soy sauce	soy_sauce	soybean	legume	fermented_soybean	95.77	1.58	42	2903437	27.32	134502	Bacteria	Firmicutes_A	Clostridia	Tissierellales	SIT17	Senegalia	unknown16	Firmicutes	Du2023	NA
MAG_112	soy sauce	soy_sauce	soybean	legume	fermented_soybean	99.45	1.1	43	2899132	32.93	180495	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus nepalensis	Firmicutes	Du2023	NA
