mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	phylo_group	study_catalog	source
LeechJ_xxxx__AF28__bin.1	pito	pito	millet	grain	fermented_beverages	93.8	1.7	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	LeechJ_xxxx__AF28
LeechJ_xxxx__AF32__bin.1	pito	pito	millet	grain	fermented_beverages	93.7	1.6	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	LeechJ_xxxx__AF32
ChaconVargasK_2020__SRS6087094__bin.8	pulque	pulque	agave	other_plant_based	fermented_beverages	50	1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_paradoxus	Ascomycota	Carlino2024	ChaconVargasK_2020__SRS6087094
LeechJ_2020__ERS3967701__bin.2	water_kefir	water_kefir	fruit	fruit	fermented_beverages	88.7	0.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	Brettanomyces_anomalus	Ascomycota	Carlino2024	LeechJ_2020__ERS3967701
LeechJ_2020__ERS3967714__bin.6	water_kefir	water_kefir	fruit	fruit	fermented_beverages	92.7	2.4	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_uvarum	Ascomycota	Carlino2024	LeechJ_2020__ERS3967714
LeechJ_2020__ERS3967741__bin.10	water_kefir	water_kefir	fruit	fruit	fermented_beverages	57	0.4	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_fermentans	Ascomycota	Carlino2024	LeechJ_2020__ERS3967741
MortensenS_xxxx__WK001-1-L-08h-01F1_S25__bin.10	water_kefir	water_kefir	fig	fruit	fermented_beverages	69.7	1.7	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001-1-L-08h-01F1_S25
MortensenS_xxxx__WK001-2-G-48h-01C4_S1__bin.7	water_kefir	water_kefir	fig	fruit	fermented_beverages	74.8	2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001-2-G-48h-01C4_S1
MortensenS_xxxx__WK001T-1-G-00h-05I5_S129__bin.1	water_kefir	water_kefir	fig	fruit	fermented_beverages	91.8	2.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-1-G-00h-05I5_S129
MortensenS_xxxx__WK001T-1-L-00h-05D3_S82__bin.3	water_kefir	water_kefir	fig	fruit	fermented_beverages	98.1	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-1-L-00h-05D3_S82
MortensenS_xxxx__WK001T-1-L-02h-05D7_S86__bin.2	water_kefir	water_kefir	fig	fruit	fermented_beverages	97.8	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-1-L-02h-05D7_S86
MortensenS_xxxx__WK001T-1-L-04h-05E2_S90__bin.9	water_kefir	water_kefir	fig	fruit	fermented_beverages	97.1	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-1-L-04h-05E2_S90
MortensenS_xxxx__WK001T-1-L-08h-05E6_S94__bin.6	water_kefir	water_kefir	fig	fruit	fermented_beverages	98	2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-1-L-08h-05E6_S94
MortensenS_xxxx__WK001T-1-L-16h-05F1_S98__bin.4	water_kefir	water_kefir	fig	fruit	fermented_beverages	95.6	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-1-L-16h-05F1_S98
MortensenS_xxxx__WK001T-1-L-48h-05F9_S106__bin.1	water_kefir	water_kefir	fig	fruit	fermented_beverages	51.8	1.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-1-L-48h-05F9_S106
MortensenS_xxxx__WK001T-2-G-00h-05I6_S130__bin.4	water_kefir	water_kefir	fig	fruit	fermented_beverages	91.1	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-2-G-00h-05I6_S130
MortensenS_xxxx__WK001T-2-L-00h-05D4_S83__bin.4	water_kefir	water_kefir	fig	fruit	fermented_beverages	98.3	2.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-2-L-00h-05D4_S83
MortensenS_xxxx__WK001T-2-L-02h-05D8_S87__bin.5	water_kefir	water_kefir	fig	fruit	fermented_beverages	97.3	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-2-L-02h-05D8_S87
MortensenS_xxxx__WK001T-2-L-04h-05E3_S91__bin.2	water_kefir	water_kefir	fig	fruit	fermented_beverages	98.4	2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-2-L-04h-05E3_S91
MortensenS_xxxx__WK001T-2-L-08h-05E7_S95__bin.3	water_kefir	water_kefir	fig	fruit	fermented_beverages	96.5	2.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-2-L-08h-05E7_S95
MortensenS_xxxx__WK001T-2-L-16h-05F2_S99__bin.6	water_kefir	water_kefir	fig	fruit	fermented_beverages	95.3	2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK001T-2-L-16h-05F2_S99
MortensenS_xxxx__WK003-2-G-48h-01C6_S3__bin.1	water_kefir	water_kefir	fig	fruit	fermented_beverages	97.4	2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK003-2-G-48h-01C6_S3
MortensenS_xxxx__WK003-2-L-48h-01G3_S36__bin.9	water_kefir	water_kefir	fig	fruit	fermented_beverages	69.6	0.4	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	Brettanomyces_bruxellensis	Ascomycota	Carlino2024	MortensenS_xxxx__WK003-2-L-48h-01G3_S36
MortensenS_xxxx__WK004-2-L-08h-01G6_S39__bin.9	water_kefir	water_kefir	fig	fruit	fermented_beverages	60.6	1.3	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK004-2-L-08h-01G6_S39
MortensenS_xxxx__WK005-1-L-08h-01G8_S41__bin.3	water_kefir	water_kefir	fig	fruit	fermented_beverages	94.4	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK005-1-L-08h-01G8_S41
MortensenS_xxxx__WK005-1-L-48h-01G9_S42__bin.5	water_kefir	water_kefir	fig	fruit	fermented_beverages	85.7	2.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK005-1-L-48h-01G9_S42
MortensenS_xxxx__WK005-2-G-48h-01C8_S5__bin.3	water_kefir	water_kefir	fig	fruit	fermented_beverages	98	2.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK005-2-G-48h-01C8_S5
MortensenS_xxxx__WK005-2-L-08h-01H1_S43__bin.2	water_kefir	water_kefir	fig	fruit	fermented_beverages	76.4	1.4	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK005-2-L-08h-01H1_S43
MortensenS_xxxx__WK005-2-L-48h-01H2_S44__bin.6	water_kefir	water_kefir	fig	fruit	fermented_beverages	55.2	1.3	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK005-2-L-48h-01H2_S44
MortensenS_xxxx__WK006-1-L-48h-01H4_S46__bin.2	water_kefir	water_kefir	fig	fruit	fermented_beverages	83	0.4	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygotorulaspora	Zygotorulaspora_florentina	Ascomycota	Carlino2024	MortensenS_xxxx__WK006-1-L-48h-01H4_S46
MortensenS_xxxx__WK006-2-G-48h-01C9_S6__bin.1	water_kefir	water_kefir	fig	fruit	fermented_beverages	97.2	2.3	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	Ascomycota	Carlino2024	MortensenS_xxxx__WK006-2-G-48h-01C9_S6
MortensenS_xxxx__WK006-2-L-48h-01H6_S48__bin.1	water_kefir	water_kefir	fig	fruit	fermented_beverages	86.7	0.2	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygotorulaspora	Zygotorulaspora_florentina	Ascomycota	Carlino2024	MortensenS_xxxx__WK006-2-L-48h-01H6_S48
MortensenS_xxxx__WK007-1-L-08h-01H7_S49__bin.4	water_kefir	water_kefir	fig	fruit	fermented_beverages	96.2	0.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygotorulaspora	Zygotorulaspora_florentina	Ascomycota	Carlino2024	MortensenS_xxxx__WK007-1-L-08h-01H7_S49
MortensenS_xxxx__WK007-1-L-48h-01H8_S50__bin.2	water_kefir	water_kefir	fig	fruit	fermented_beverages	99	0.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygotorulaspora	Zygotorulaspora_florentina	Ascomycota	Carlino2024	MortensenS_xxxx__WK007-1-L-48h-01H8_S50
MortensenS_xxxx__WK007-2-G-48h-01D1_S7__bin.6	water_kefir	water_kefir	fig	fruit	fermented_beverages	70.6	0	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygotorulaspora	Zygotorulaspora_florentina	Ascomycota	Carlino2024	MortensenS_xxxx__WK007-2-G-48h-01D1_S7
MortensenS_xxxx__WK007-2-L-08h-01H9_S51__bin.8	water_kefir	water_kefir	fig	fruit	fermented_beverages	99	0.1	NA	NA	NA	NA	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygotorulaspora	Zygotorulaspora_florentina	Ascomycota	Carlino2024	MortensenS_xxxx__WK007-2-L-08h-01H9_S51
