ID	Species	GCA
167073	Acidiphilium iwatense	GCA_021556475
31	Acidiphilium multivorum	GCA_000202835
131572	Acidiphilium sp.	GCA_000219295
158200	Acidiphilium sp.	GCA_000724705
132354	Silvibacterium dinghuense	GCA_004123295
132249	Acidipila rosea	GCA_004339725
5459	Acidiplasma aeolicum	GCA_001399695
5460	Acidiplasma cupricumulans	GCA_001316225
12633	Acidipropionibacterium acidipropionici	GCA_000427845
12634	Acidipropionibacterium acidipropionici	GCA_000310065
12651	Acidipropionibacterium jensenii	GCA_000425285
12654	Acidipropionibacterium thoenii	GCA_000423445
158421	Acidipropionibacterium virtanenii	GCA_003325455
169956	Acidisarcina polymorpha	GCA_003330725
168482	Acidisoma cellulosilyticum	GCA_020621385
168457	Acidisoma silvae	GCA_020618775
67	Acidisphaera rubrifaciens	GCA_000964365
17890	Aciditerrimonas ferrireducens	GCA_001311945
128	Acidithiobacillus albertensis	GCA_001931655
126	Acidithiobacillus caldus	GCA_000175575
127	Acidithiobacillus caldus	GCA_018854145
160797	Acidithiobacillus ferrianus	GCA_010378095
130138	Acidithiobacillus ferridurans	GCA_003966655
132357	Acidithiobacillus ferriphilus	GCA_018854775
129	Acidithiobacillus ferrivorans	GCA_018853935
119	Acidithiobacillus ferrivorans	GCA_000214095
118	Acidithiobacillus ferrooxidans	GCA_000021485
111	Acidithiobacillus ferrooxidans	GCA_018854535
114	Acidithiobacillus ferrooxidans	GCA_018854265
116	Acidithiobacillus ferrooxidans	GCA_018854615
159192	Acidithiobacillus sulfuriphilus	GCA_003721225
125	Acidithiobacillus thiooxidans	GCA_000227215
121	Acidithiobacillus thiooxidans	GCA_018854645
132685	Acidithiobacillus thiooxidans	GCA_002079865
137426	Acidithiobacillus thiooxidans	GCA_018853445
164862	Acidithiobacillus thiooxidans	GCA_018854725
159490	Acidithrix ferrooxidans	GCA_000949295
133033	Acidobacterium ailaaui	GCA_000688455
131	Acidobacterium capsulatum	GCA_000022565
32	Acidiphilium aminilyticum	GCA_000964385
23490	Acidocella aromatica	GCA_014201825
33	Acidomonas methanolica	GCA_000617865
166902	Comamonas antarctica	GCA_013363755
2891	Acidovorax avenae	GCA_000176855
2903	Acidovorax caeni	GCA_001298675
139835	Acidovorax carolinensis	GCA_002157145
2902	Acidovorax cattleyae	GCA_900104515
2901	Acidovorax citrulli	GCA_900100305
22971	Acidovorax citrulli	GCA_001593665
2888	Acidovorax facilis	GCA_023913775
158808	Acidovorax kalamii	GCA_002245625
2893	Acidovorax konjaci	GCA_900112675
168952	Acidovorax monticola	GCA_014489595
135927	Acidovorax oryzae	GCA_000687165
2905	Acidovorax radicis	GCA_000204195
2904	Acidovorax soli	GCA_900107605
2896	Acidovorax sp.	GCA_000015545
131581	Acidovorax sp.	GCA_001428645
131582	Acidovorax sp.	GCA_001428665
131583	Acidovorax sp.	GCA_001429215
131584	Acidovorax sp.	GCA_001428965
131585	Acidovorax sp.	GCA_001428225
131587	Acidovorax sp.	GCA_001422105
131588	Acidovorax sp.	GCA_001424265
131589	Acidovorax sp.	GCA_001422735
131590	Acidovorax sp.	GCA_001424425
131591	Acidovorax sp.	GCA_916855635
131592	Acidovorax sp.	GCA_001422065
2892	Acidovorax temperans	GCA_006716905
2899	Acidovorax valerianellae	GCA_900102625
23868	Acidovorax wautersii	GCA_900113035
23434	Aciduliprofundum boonei	GCA_000025665
170045	Acinetobacter amyesii	GCA_023499985
167738	Acinetobacter baretiae	GCA_015627105
8095	Acinetobacter baumannii	GCA_001936675
134717	Acinetobacter baumannii	GCA_000368185
134718	Acinetobacter baumannii	GCA_000368525
134722	Acinetobacter baumannii	GCA_000413915
134783	Acinetobacter baumannii	GCA_000369285
134981	Acinetobacter baumannii	GCA_000369245
135233	Acinetobacter baumannii	GCA_000369225
135561	Acinetobacter baumannii	GCA_000369325
135562	Acinetobacter baumannii	GCA_000368105
135661	Acinetobacter baumannii	GCA_001457535
135763	Acinetobacter baumannii	GCA_000368225
136755	Acinetobacter baumannii	GCA_000368205
136766	Acinetobacter baumannii	GCA_000368125
136828	Acinetobacter baumannii	GCA_000368245
137208	Acinetobacter baumannii	GCA_000369185
137459	Acinetobacter baumannii	GCA_000369205
138562	Acinetobacter baumannii	GCA_015910475
138786	Acinetobacter baumannii	GCA_000369165
139048	Acinetobacter baumannii	GCA_001997285
157915	Acinetobacter baumannii	GCA_001512195
8126	Acinetobacter baylyi	GCA_000368685
8128	Acinetobacter baylyi	GCA_000046845
8141	Acinetobacter beijerinckii	GCA_000369005
8145	Acinetobacter bereziniae	GCA_000248295
130455	Acinetobacter bohemicus	GCA_008802275
8131	Acinetobacter bouvetii	GCA_000368865
8140	Acinetobacter brisouii	GCA_000488275
8057	Acinetobacter calcoaceticus	GCA_000248175
157583	Acinetobacter calcoaceticus	GCA_001510805
164592	Acinetobacter chengduensis	GCA_003664645
169068	Acinetobacter chinensis	GCA_002165375
140537	Acinetobacter colistiniresistens	GCA_000413935
138442	Acinetobacter colistiniresistens	GCA_000369765
141331	Acinetobacter colistiniresistens	GCA_000248215
139534	Acinetobacter courvalinii	GCA_000369785
139535	Acinetobacter courvalinii	GCA_000369605
168099	Acinetobacter cumulans	GCA_003024525
140606	Acinetobacter defluvii	GCA_001704615
133175	Acinetobacter lactucae	GCA_001595745
139491	Acinetobacter dispersus	GCA_000369545
140912	Acinetobacter equi	GCA_001307195
130452	Acinetobacter gandensis	GCA_008802205
167817	Acinetobacter geminorum	GCA_013009345
8098	Acinetobacter genomospecies 3	GCA_000248235
8132	Acinetobacter gerneri	GCA_000368565
167029	Acinetobacter guerrae	GCA_009372255
8097	Acinetobacter guillouiae	GCA_000368145
135563	Acinetobacter guillouiae	GCA_000368485
136752	Acinetobacter gyllenbergii	GCA_000488195
8092	Acinetobacter haemolyticus	GCA_000369065
136765	Acinetobacter haemolyticus	GCA_000369085
137495	Acinetobacter haemolyticus	GCA_900444825
137522	Acinetobacter haemolyticus	GCA_000164055
163932	Acinetobacter halotolerans	GCA_004208515
8148	Acinetobacter indicus	GCA_000488255
131299	Acinetobacter indicus	GCA_002174105
139603	Acinetobacter indicus	GCA_000369465
8088	Acinetobacter johnsonii	GCA_000368045
138934	Acinetobacter johnsonii	GCA_007989645
8086	Acinetobacter junii	GCA_900444875
8087	Acinetobacter junii	GCA_000368665
136748	Acinetobacter junii	GCA_000368745
164611	Acinetobacter lanii	GCA_011578285
133403	Acinetobacter larvae	GCA_001704115
8058	Acinetobacter lwoffii	GCA_000248355
134719	Acinetobacter lwoffii	GCA_000369145
138819	Acinetobacter lwoffii	GCA_000368165
139049	Acinetobacter lwoffii	GCA_900444925
139604	Acinetobacter lwoffii	GCA_000369685
139605	Acinetobacter lwoffii	GCA_000369745
139606	Acinetobacter lwoffii	GCA_000369125
139612	Acinetobacter lwoffii	GCA_000369725
163942	Acinetobacter mesopotamicus	GCA_011058205
139492	Acinetobacter modestus	GCA_000367965
130450	Acinetobacter nectaris	GCA_000488215
132120	Acinetobacter nosocomialis	GCA_000368085
136146	Acinetobacter nosocomialis	GCA_000368605
157136	Acinetobacter oleivorans	GCA_000196795
8139	Acinetobacter parvus	GCA_000248155
134448	Acinetobacter parvus	GCA_000368305
138820	Acinetobacter parvus	GCA_000368005
139613	Acinetobacter parvus	GCA_000368325
158638	Acinetobacter piscicola	GCA_002233755
8146	Acinetobacter pittii	GCA_000369045
158150	Acinetobacter pittii	GCA_001743435
157137	Acinetobacter plantarum	GCA_012271855
167003	Acinetobacter pollinis	GCA_015627175
169087	Acinetobacter populi	GCA_002174125
167218	Acinetobacter portensis	GCA_009372215
139427	Acinetobacter proteolyticus	GCA_000367945
164465	Acinetobacter pullicarnis	GCA_006352475
164696	Acinetobacter pullorum	GCA_010646905
136812	Acinetobacter radioresistens	GCA_000368885
169349	Acinetobacter radioresistens	GCA_023130675
169350	Acinetobacter radioresistens	GCA_023130615
169351	Acinetobacter radioresistens	GCA_023130635
169352	Acinetobacter radioresistens	GCA_023130595
169353	Acinetobacter radioresistens	GCA_023130555
169354	Acinetobacter radioresistens	GCA_023130565
169355	Acinetobacter radioresistens	GCA_023127725
169356	Acinetobacter radioresistens	GCA_023130495
169357	Acinetobacter radioresistens	GCA_023127715
169358	Acinetobacter radioresistens	GCA_023127655
169359	Acinetobacter radioresistens	GCA_023127665
169360	Acinetobacter radioresistens	GCA_023127675
166628	Acinetobacter rathckeae	GCA_015627125
8147	Acinetobacter rudis	GCA_000829675
8134	Acinetobacter schindleri	GCA_000368625
135565	Acinetobacter schindleri	GCA_000368465
139607	Acinetobacter schindleri	GCA_000369585
132199	Acinetobacter seifertii	GCA_000368065
8138	Acinetobacter seohaensis	GCA_018403785
164612	Acinetobacter shaoyimingii	GCA_011578045
159774	Acinetobacter sichuanensis	GCA_003024515
170044	Acinetobacter silvestris	GCA_002135235
8143	Acinetobacter soli	GCA_000368705
139530	Acinetobacter soli	GCA_000368725
8072	Acinetobacter sp.	GCA_900109815
24220	Acinetobacter sp.	GCA_000248315
132688	Acinetobacter sp.	GCA_001425285
132689	Acinetobacter sp.	GCA_001423205
136811	Acinetobacter sp.	GCA_000369425
137422	Acinetobacter sp.	GCA_000369505
137425	Acinetobacter sp.	GCA_000369805
138485	Acinetobacter sp.	GCA_000368405
139608	Acinetobacter sp.	GCA_000368445
141333	Acinetobacter higginsii	GCA_000369525
163831	Acinetobacter sp.	GCA_001278715
167144	Acinetobacter stercoris	GCA_900323515
8133	Acinetobacter tandoii	GCA_000400735
8130	Acinetobacter tjernbergiae	GCA_000374425
8123	Acinetobacter towneri	GCA_000368785
8135	Acinetobacter ursingii	GCA_000248135
136751	Acinetobacter ursingii	GCA_000369885
132198	Acinetobacter variabilis	GCA_000369625
136891	Acinetobacter variabilis	GCA_000368385
139493	Acinetobacter vivianii	GCA_000369705
139494	Acinetobacter vivianii	GCA_000368345
164607	Acinetobacter wanghuae	GCA_009557235
159758	Acinetobacter wuhouensis	GCA_001696605
169808	Acrocarpospora catenulata	GCA_018476525
16504	Acrocarpospora corrugata	GCA_009687845
16505	Acrocarpospora macrocephala	GCA_009687865
23319	Acrocarpospora phusangensis	GCA_016862995
16506	Acrocarpospora pleiomorpha	GCA_009687885
168950	Actibacterium atlanticum	GCA_000671395
166893	Actibacterium lipolyticum	GCA_900184935
24522	Actibacterium mucosum	GCA_000647975
132960	Actibacterium naphthalenivorans	GCA_014196965
141146	Actibacterium pelagium	GCA_002285415
141055	Actibacterium ureilyticum	GCA_002285435
132268	Actinoallomurus bryophytorum	GCA_006716425
17012	Actinoallomurus purpureus	GCA_024055795
17006	Actinoallomurus spadix	GCA_024055725
13192	Actinoalloteichus caeruleus	GCA_000429185
13191	Actinoalloteichus caeruleus	GCA_000716095
130583	Actinoalloteichus hoggarensis	GCA_002234535
13194	Actinoalloteichus hymeniacidonis	GCA_001747425
13193	Actinoalloteichus spitiensis	GCA_000239155
11688	Actinobacillus arthritidis	GCA_029774155
11676	Actinobacillus capsulatus	GCA_000374285
11689	Actinobacillus equuli	GCA_029773685
11690	Actinobacillus equuli subsp. haemolyticus	GCA_029773665
11674	Actinobacillus genomospecies 2	GCA_029773605
11679	Actinobacillus lignieresii	GCA_900444945
141212	Actinobacillus lignieresii	GCA_900444935
143981	Actinobacillus lignieresii	GCA_029773645
143982	Actinobacillus lignieresii	GCA_029773625
138198	Actinobacillus minor	GCA_000175195
152802	Actinobacillus pleuropneumoniae	GCA_900444975
152803	Actinobacillus pleuropneumoniae	GCA_900638445
160510	Actinobacillus pleuropneumoniae	GCA_021953265
160511	Actinobacillus pleuropneumoniae	GCA_021953085
11684	Actinobacillus porcinus	GCA_900773985
144739	Actinobacillus salpingitidis	GCA_000771895
11683	Actinobacillus seminis	GCA_002263215
11682	Actinobacillus suis	GCA_000739435
11681	Actinobacillus suis	GCA_002081685
11670	Actinobacillus ureae	GCA_000188255
137004	Actinobacillus ureae	GCA_900445015
137494	Actinobacillus ureae	GCA_900445035
132079	Actinobaculum massiliense	GCA_001457435
144	Actinobaculum suis	GCA_900102025
167019	Actinocatenispora comari	GCA_017312725
7797	Actinocatenispora rupis	GCA_016861975
7796	Actinocatenispora sera	GCA_000720965
7795	Actinocatenispora thailandica	GCA_016865425
16911	Actinocorallia herbida	GCA_003751225
159707	Actinocorallia populi	GCA_002995495
132014	Actinocrinis puniceicyclus	GCA_018283645
132668	Actinocrispum wychmicini	GCA_004345645
13511	Actinokineospora alba	GCA_004362515
13206	Actinokineospora auranticolor	GCA_002934265
13207	Actinokineospora baliensis	GCA_016907695
24443	Actinokineospora bangkokensis	GCA_001940455
13209	Actinokineospora cianjurensis	GCA_003663795
13199	Actinokineospora diospyrosa	GCA_024171925
13205	Actinokineospora enzanensis	GCA_000374445
13196	Actinokineospora fastidiosa	GCA_014648415
13200	Actinokineospora globicatena	GCA_024171945
13202	Actinokineospora inagensis	GCA_000482865
130584	Actinokineospora spheciospongiae	GCA_003182415
130585	Actinokineospora spheciospongiae	GCA_000564855
13204	Actinokineospora terrae	GCA_900111175
131551	Actinomadura algeriensis	GCA_014873935
16924	Actinomadura atramentaria	GCA_000381885
16996	Actinomadura bangladeshensis	GCA_004348335
16988	Actinomadura catellatispora	GCA_014205085
16994	Actinomadura chibensis	GCA_001552135
16925	Actinomadura citrea	GCA_013409045
16926	Actinomadura coerulea	GCA_014208105
158480	Actinomadura craniellae	GCA_003289645
16927	Actinomadura cremea	GCA_014648495
130742	Actinomadura darangshiensis	GCA_004349235
161893	Actinomadura decatromicini	GCA_008121305
16999	Actinomadura flavalba	GCA_000374305
16966	Actinomadura formosensis	GCA_001552155
17005	Actinomadura geliboluensis	GCA_005889745
16987	Actinomadura glauciflava	GCA_024648845
168441	Actinomadura graeca	GCA_019175365
16993	Actinomadura hallensis	GCA_006716765
164316	Actinomadura harenae	GCA_003696215
16979	Actinomadura hibisca	GCA_001552635
16929	Actinomadura kijaniata	GCA_001552175
16981	Actinomadura latina	GCA_001552195
164564	Actinomadura litoris	GCA_009733595
16930	Actinomadura livida	GCA_014648675
159574	Actinomadura logoneensis	GCA_003428695
16931	Actinomadura luteofluorescens	GCA_013409365
16932	Actinomadura macra	GCA_001552215
167256	Actinomadura macrotermitis	GCA_009604375
16933	Actinomadura madurae	GCA_900115095
16985	Actinomadura mexicana	GCA_900188105
16989	Actinomadura meyerae	GCA_900188445
140490	Actinomadura montaniterrae	GCA_008923365
16986	Actinomadura namibiensis	GCA_014138665
161015	Actinomadura oligospora	GCA_000518265
169806	Actinomadura parmotrematis	GCA_019458805
16950	Actinomadura pelletieri	GCA_003634705
164563	Actinomadura physcomitrii	GCA_008923205
132197	Actinomadura rayongensis	GCA_009831215
16969	Actinomadura rifamycini	GCA_000425065
166237	Actinomadura roseirufa	GCA_900659635
164684	Actinomadura rubrisoli	GCA_004349215
167191	Actinomadura rubteroloni	GCA_002911665
17003	Actinomadura rupiterrae	GCA_024172125
167110	Actinomadura soli	GCA_005889715
16953	Actinomadura luzonensis	GCA_022664455
169807	Actinomadura spongiicola	GCA_003432485
168414	Actinomadura violacea	GCA_017573465
16968	Actinomadura viridilutea	GCA_003001795
16970	Actinomadura viridilutea	GCA_001552235
16945	Actinomadura viridis	GCA_015751755
177	Actinomyces bowdenii	GCA_017592395
131091	Actinomyces bowdenii	GCA_024623335
189	Actinomyces dentalis	GCA_000429225
149	Actinomyces denticolens	GCA_001995055
166911	Actinomyces faecalis	GCA_013184985
140372	Actinomyces gaoshouyii	GCA_002072175
159	Actinomyces gerencseriae	GCA_000429265
140064	Actinomyces haliotis	GCA_015355765
147057	Actinomyces howellii	GCA_900637165
151	Actinomyces israelii	GCA_000711965
150	Actinomyces israelii	GCA_026891875
190	Actinomyces johnsonii	GCA_006546835
166249	Actinomyces lilanjuaniae	GCA_003606385
164726	Actinomyces marmotae	GCA_013177295
192	Actinomyces massiliensis	GCA_000269805
154	Actinomyces naeslundii	GCA_001956585
148387	Actinomyces naeslundii	GCA_001956565
149367	Actinomyces naeslundii	GCA_001956445
187	Actinomyces oricola	GCA_004104015
191	Actinomyces oris	GCA_006546825
132555	Actinomyces polynesiensis	GCA_000820725
164581	Actinomyces procaprae	GCA_004798665
159350	Actinomyces qiguomingii	GCA_004102025
176	Actinomyces radicidentis	GCA_001553565
167387	Actinomyces respiraculi	GCA_014595995
23522	Actinomyces ruminicola	GCA_900103885
138775	Actinomyces slackii	GCA_900637295
147629	Actinomyces sp.	GCA_001937675
193	Actinomyces timonensis	GCA_000295095
167494	Actinomyces trachealis	GCA_015711475
178	Actinomyces urogenitalis	GCA_000159035
157	Actinomyces viscosus	GCA_004525795
140287	Actinomyces vulturis	GCA_001687305
196	Actinomyces weissii	GCA_016598775
164613	Actinomyces wuliandei	GCA_004010955
158462	Actinomycetospora callitridis	GCA_028737265
13499	Actinomycetospora chiangmaiensis	GCA_000379625
13502	Actinomycetospora cinnamomea	GCA_003096675
13503	Actinomycetospora corticicola	GCA_013409505
159747	Actinomycetospora endophytica	GCA_021026375
13504	Actinomycetospora lutea	GCA_028737205
13505	Actinomycetospora straminea	GCA_028737255
13506	Actinomycetospora succinea	GCA_004363095
132566	Actinophytocola algeriensis	GCA_014203735
13512	Actinophytocola oryzae	GCA_004364325
133108	Actinophytocola xanthii	GCA_001921205
23222	Actinophytocola xinjiangensis	GCA_001921215
7847	Actinoplanes abujensis	GCA_014204895
23114	Actinoplanes atraurantiacus	GCA_900215205
7798	Actinoplanes auranticolor	GCA_018332655
165347	Actinoplanes awajinensis subsp. mycoplanecinus	GCA_001509495
168912	Actinoplanes bogorensis	GCA_018829635
7799	Actinoplanes brasiliensis	GCA_004362215
7801	Actinoplanes campanulatus	GCA_014191935
7837	Actinoplanes capillaceus	GCA_016862055
7830	Actinoplanes consettensis	GCA_018332715
7841	Actinoplanes couchii	GCA_016862075
7816	Actinoplanes cyaneus	GCA_016862095
7802	Actinoplanes deccanensis	GCA_016862115
7831	Actinoplanes derwentensis	GCA_016862135
7803	Actinoplanes digitatis	GCA_014205335
7832	Actinoplanes durhamensis	GCA_016862175
7804	Actinoplanes ferrugineus	GCA_016862195
168018	Actinoplanes flavus	GCA_017592555
7840	Actinoplanes friuliensis	GCA_000494755
7805	Actinoplanes globisporus	GCA_000379645
23115	Actinoplanes hulinensis	GCA_019429605
7833	Actinoplanes humidus	GCA_016862215
7817	Actinoplanes ianthinogenes	GCA_014648375
7807	Actinoplanes italicus	GCA_003001815
167124	Actinoplanes lichenicola	GCA_016785085
7839	Actinoplanes liguriensis	GCA_000715855
7808	Actinoplanes lobatus	GCA_014205215
24208	Actinoplanes lutulentus	GCA_003259845
7809	Actinoplanes missouriensis	GCA_000284295
7820	Actinoplanes nipponensis	GCA_016862275
7846	Actinoplanes octamycinicus	GCA_014205225
167118	Actinoplanes ovalisporus	GCA_016834655
7834	Actinoplanes palleronii	GCA_016862315
7810	Actinoplanes philippinensis	GCA_016862335
7811	Actinoplanes rectilineatus	GCA_000962825
7812	Actinoplanes regularis	GCA_016862355
23113	Actinoplanes rishiriensis	GCA_016862375
130440	Actinoplanes siamensis	GCA_016862395
164277	Actinoplanes solisilvae	GCA_003999975
7819	Actinoplanes sp.	GCA_018326205
7821	Actinoplanes sp.	GCA_000718415
159205	Actinoplanes maris	GCA_023544465
7818	Actinoplanes teichomyceticus	GCA_003711105
7844	Actinoplanes tereljensis	GCA_016862435
7845	Actinoplanes toevensis	GCA_018332695
7815	Actinoplanes utahensis	GCA_016862455
7843	Actinoplanes xinjiangensis	GCA_003148685
11160	Actinopolymorpha alba	GCA_000373925
11161	Actinopolymorpha cephalotaxi	GCA_013408535
11162	Actinopolymorpha pittospori	GCA_014873875
11159	Actinopolymorpha rutila	GCA_013407855
11158	Actinopolymorpha singaporensis	GCA_900104745
17729	Actinopolyspora alba	GCA_900112765
130805	Actinopolyspora biskrensis	GCA_013408175
17730	Actinopolyspora erythraea	GCA_000763095
17721	Actinopolyspora halophila	GCA_000371785
17722	Actinopolyspora mortivallis	GCA_000384035
24730	Actinopolyspora mzabensis	GCA_900101095
24731	Actinopolyspora righensis	GCA_900116555
24728	Actinopolyspora saharensis	GCA_900100925
24727	Actinopolyspora xinjiangensis	GCA_900104475
131391	Actinorugispora endophytica	GCA_004363075
17634	Actinospica acidiphila	GCA_000717315
17635	Actinospica robiniae	GCA_000504285
13211	Actinosynnema mirum	GCA_000023245
13212	Actinosynnema pretiosum subsp. auranticum	GCA_000716705
