mag_id,substrate,completeness,contamination,contigs,total_length,gc,n50,domain,phylum,class,order,family,genus,species,group,study_catalog
MAG_38,dairy,97.99,6.4,135,2410245,36.68,30535,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus koreensis,Firmicutes,Du2023
MAG_40,chilli paste,98.86,0.51,192,4574311,55.67,34661,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter himalayensis,Proteobacteria,Du2023
MAG_43,dairy,97.91,1.69,263,3305000,67.59,17608,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,unknown96,Actinobacteria,Du2023
MAG_44,fermented_beverages,90.38,1.23,189,1648615,42.52,12646,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,Firmicutes,Du2023
MAG_46,fermented_beverages,99.06,1.2,82,1752300,48.14,34442,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,unknown76,Firmicutes,Du2023
MAG_48,fermented_beverages,98.12,6.09,77,2825412,64.13,67210,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter xylinus_C,Proteobacteria,Du2023
MAG_49,dairy,100,0,38,1737223,39.26,72056,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc pseudomesenteroides,Firmicutes,Du2023
MAG_52,fermented_beverages,90.48,0.55,230,2707193,71.3,16659,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unknown2,unknown36,Proteobacteria,Du2023
MAG_54,fermented_beverages,95.83,3.27,126,1314780,36.46,15228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acetotolerans,Firmicutes,Du2023
MAG_60,fermented_beverages,98.91,0.83,79,1791522,53.44,59855,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus pontis,Firmicutes,Du2023
MAG_67,yoghurt,96.19,4.52,486,3469796,44.12,10139,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,Firmicutes,Du2023
MAG_68,bean paste,93.1,5.32,134,3059160,40.83,49081,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,Enterococcus_D gallinarum,Firmicutes,Du2023
MAG_69,fermented_beverages,95.13,8,817,3453065,37.54,4978,Bacteria,Firmicutes,Bacilli,Bacillales,Caldibacillaceae,Bacillus_J,Bacillus_J thermoamylovorans,Firmicutes,Du2023
MAG_72,dairy,100,0.52,41,4685330,42.51,162535,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,Marinomonas sp000017285,Proteobacteria,Du2023
MAG_73,dairy,99.36,0.55,51,2850684,44.91,89186,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp002366815,Proteobacteria,Du2023
MAG_76,dairy,97.81,0.73,125,2087286,39.39,26473,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,Marinilactibacillus piezotolerans_A,Firmicutes,Du2023
MAG_82,dairy,99.14,0.43,96,3877167,62.82,60669,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Cobetia,Cobetia amphilecti,Proteobacteria,Du2023
MAG_84,dairy,99.89,0.8,47,1880367,38.65,67856,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Firmicutes,Du2023
MAG_87,dairy,99.25,0.01,155,2540783,38.19,25747,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B faecium,Firmicutes,Du2023
MAG_89,dairy,94.56,1.97,630,4624615,55.26,9471,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia proteamaculans_B,Proteobacteria,Du2023
MAG_90,dairy,91.88,1.46,780,3717971,39.56,5814,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,Pseudoalteromonas distincta,Proteobacteria,Du2023
MAG_93,dairy,97.08,6.35,123,1663021,36.61,19194,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Firmicutes,Du2023
MAG_97,bean paste,98.67,1,35,4133280,44.71,212762,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_D,Bacillus_H,Bacillus_H rhizosphaerae,Firmicutes,Du2023
MAG_99,soy,96.42,2.76,201,2623152,38.21,22759,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B faecium_B,Firmicutes,Du2023
MAG_100,soy,95.77,1.58,42,2903437,27.32,134502,Bacteria,Firmicutes_A,Clostridia,Tissierellales,SIT17,Senegalia,unknown16,Firmicutes,Du2023
MAG_102,dairy,100,1.1,80,3881253,53.69,86674,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas sp002332255,Proteobacteria,Du2023
MAG_106,dairy,97.12,1.75,422,3659576,70.1,12967,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermabacteraceae,Brachybacterium,unknown90,Actinobacteria,Du2023
MAG_111,fermented_beverages,98.03,1.38,147,2512928,60.1,28110,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Actinobacteria,Du2023
MAG_112,soy,99.45,1.1,43,2899132,32.93,180495,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,Firmicutes,Du2023
MAG_118,dairy,99.12,0.44,78,3025928,55.34,72018,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium casei,Actinobacteria,Du2023
MAG_122,dairy,98.57,0.04,64,4398221,50.77,107420,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia flexneri,Proteobacteria,Du2023
MAG_124,dairy,99.35,0.58,215,4933670,55.12,35851,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter himalayensis,Proteobacteria,Du2023
MAG_125,bean paste,99.62,0,68,2648190,38.3,84448,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B faecium_B,Firmicutes,Du2023
MAG_127,dairy,97.87,1.11,80,4409016,48.09,87245,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Hafnia,Hafnia paralvei,Proteobacteria,Du2023
MAG_129,dairy,97.13,0.39,244,1797817,36.27,10933,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Firmicutes,Du2023
MAG_135,fermented_beverages,95.56,0.34,48,1571027,36.45,59218,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus,Firmicutes,Du2023
MAG_137,dairy,98.02,0.6,227,3185934,41.98,21643,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,unknown102,Proteobacteria,Du2023
MAG_139,bean paste,98.27,9.95,125,4752767,45.47,109597,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,Firmicutes,Du2023
MAG_147,dairy,96.18,0,44,1946022,38.12,120962,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus petauri,Firmicutes,Du2023
MAG_151,dairy,97.73,0,78,1608627,50.54,31541,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,Firmicutes,Du2023
MAG_155,dairy,99.44,1.53,97,3189648,32.95,177929,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum,Firmicutes,Du2023
MAG_157,grains,90.84,4.11,766,3082045,36.56,4543,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,Firmicutes,Du2023
MAG_158,dairy,94.29,3.84,294,2423222,43.33,10840,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus coryniformis,Firmicutes,Du2023
MAG_159,soy,93.53,3.53,349,3344866,64.08,13463,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas halodenitrificans,Proteobacteria,Du2023
MAG_161,soy,99.57,0.31,76,3276997,57.93,81565,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,unknown12,Proteobacteria,Du2023
MAG_162,yoghurt,98.42,0.32,54,1999502,34.67,101854,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,Firmicutes,Du2023
MAG_163,bean paste,99.45,1.66,47,2884118,32.84,146122,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,Firmicutes,Du2023
MAG_165,dairy,93.74,1.1,273,1828519,37.43,10555,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Macrococcus_B,Macrococcus_B caseolyticus,Firmicutes,Du2023
MAG_167,dairy,93,0.87,470,3374266,62.8,9718,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium aurantiacum,Actinobacteria,Du2023
MAG_169,dairy,97.93,0.92,107,1792846,39.03,23011,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Firmicutes,Du2023
MAG_175,dairy,98.95,0.59,45,2264766,38.31,75122,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus versmoldensis,Firmicutes,Du2023
MAG_176,dairy,97.61,0.71,65,2626228,48.65,56527,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,unknown120,Proteobacteria,Du2023
MAG_177,soy,99.34,0.33,83,2705322,35.43,54141,Bacteria,Firmicutes,Bacilli,Bacillales,Amphibacillaceae,Paraliobacillus,unknown19,Firmicutes,Du2023
MAG_178,dairy,100,0.75,94,2189649,35.17,44426,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,Firmicutes,Du2023
MAG_179,fermented_beverages,90.03,3.23,329,1593556,37.12,5674,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,Firmicutes,Du2023
MAG_181,fruits_and_vegetables,92.91,0,403,1841819,52.55,5571,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,Firmicutes,Du2023
MAG_183,bean paste,95.53,2.68,667,4510868,55.62,9288,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,Leclercia adecarboxylata,Proteobacteria,Du2023
MAG_185,dairy,91.37,2.65,349,2491146,55.54,12311,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,Rothia sp002418375,Actinobacteria,Du2023
MAG_188,soy,97.18,0,78,2798090,31.11,52040,Bacteria,Firmicutes_A,Clostridia,Tissierellales,Clostridiisalibacteraceae,Clostridiisalibacter,Clostridiisalibacter paucivorans,Firmicutes,Du2023
MAG_192,fermented_beverages,97.67,0.46,207,1807870,42.56,13855,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,Firmicutes,Du2023
MAG_193,fermented_beverages,92.34,3.67,677,3274874,37.6,5927,Bacteria,Firmicutes,Bacilli,Bacillales,Caldibacillaceae,Bacillus_J,Bacillus_J thermoamylovorans,Firmicutes,Du2023
MAG_196,bean paste,100,0.22,30,3801552,42.85,217210,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,unknown145,Proteobacteria,Du2023
MAG_303,dairy,97.55,5.71,325,2174456,37.66,13258,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unknown28,Firmicutes,Du2023
MAG_312,dairy,99.73,0.05,90,3453700,39.03,68248,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Proteobacteria,Du2023
MAG_313,dairy,99.44,0,22,2530825,33.02,323756,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,Firmicutes,Du2023
MAG_315,dairy,96.37,0,87,3342340,59.35,60813,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Glutamicibacter,Glutamicibacter arilaitensis,Actinobacteria,Du2023
MAG_316,dairy,99.18,0,40,2783037,46.48,102877,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,Firmicutes,Du2023
MAG_317,dairy,98.87,0.6,77,3029626,67.63,73109,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium variabile,Actinobacteria,Du2023
MAG_319,dairy,99.44,1.94,31,2736890,32.67,346324,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,Firmicutes,Du2023
MAG_320,dairy,100,0,60,4002801,63,134113,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium aurantiacum,Actinobacteria,Du2023
MAG_321,dairy,99.73,0.62,45,3361669,42.89,201070,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter cibarius,Proteobacteria,Du2023
MAG_322,dairy,98.84,3.49,68,3635045,65.25,95627,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium linens,Actinobacteria,Du2023
MAG_323,dairy,99.74,0,89,3595694,58.71,148826,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Glutamicibacter,Glutamicibacter arilaitensis,Actinobacteria,Du2023
MAG_325,dairy,94.74,0,235,2269735,67,13294,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,Actinobacteria,Du2023
MAG_330,coffee ,100,1.25,59,4208344,74.67,168921,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Cellulosimicrobium,Cellulosimicrobium funkei,Actinobacteria,Du2023
MAG_334,coffee ,97.73,4.14,163,2844712,48,30515,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,unknown51,Firmicutes,Du2023
MAG_349,dairy,97.51,0,33,2002730,54.13,86187,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Proteobacteria,Du2023
MAG_350,dairy,99.47,0,156,1513001,38,15097,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,Firmicutes,Du2023
MAG_351,dairy,92.67,0.74,251,1505601,39.73,7699,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Firmicutes,Du2023
MAG_352,dairy,97.36,0.19,160,4614697,42.12,49285,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Bacteroidetes,Du2023
MAG_353,dairy,99.46,0,75,2640655,46.65,67904,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,Firmicutes,Du2023
MAG_354,dairy,100,0,26,2152613,59.28,452566,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Actinobacteria,Du2023
MAG_355,dairy,98.63,0,56,1723069,53.17,44766,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,Firmicutes,Du2023
MAG_356,dairy,98.51,0,153,2833513,61.7,32183,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter medellinensis,Proteobacteria,Du2023
MAG_363,fermented_beverages,99.5,0.5,60,3137303,63.48,110991,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter entanii,Proteobacteria,Du2023
MAG_364,fermented_beverages,94.87,2.56,145,4135315,66.35,74598,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,UBA690,unknown32,Acidobacteria,Du2023
MAG_365,fermented_beverages,96.55,0,60,2715693,64.72,67633,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter rhaeticus,Proteobacteria,Du2023
MAG_368,fermented_beverages,100,1.09,118,3368268,69.22,58573,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Schlegelella,unknown35,Proteobacteria,Du2023
MAG_369,yoghurt,99.89,0.69,30,1747616,38.94,121707,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Firmicutes,Du2023
MAG_370,yoghurt,97.27,0.29,37,1683300,39.09,77439,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Firmicutes,Du2023
MAG_371,fermented_beverages,99.88,0.99,332,6195076,68.73,33116,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,unknown5,Proteobacteria,Du2023
MAG_372,fermented_beverages,94.49,7.36,724,4415839,66.99,7845,Bacteria,Cyanobacteria,Sericytochromatia,S15B-MN24,UBA4093,unknown1,unknown7,Cyanobacteria,Du2023
MAG_375,dairy,100,0,48,1684672,39.28,51437,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc pseudomesenteroides,Firmicutes,Du2023
MAG_380,dairy,99.25,0.94,210,2414161,35.41,24285,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis_E,Firmicutes,Du2023
MAG_383,dairy,96.78,0.55,108,3168411,43.07,55966,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter glacincola,Proteobacteria,Du2023
MAG_385,dairy,96.99,0.55,98,1572591,53.3,23513,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,Firmicutes,Du2023
MAG_386,dairy,100,0.28,24,2472468,34.86,220339,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Firmicutes,Du2023
MAG_387,dairy,98.66,3.09,91,2963032,44.04,51818,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus paraplantarum,Firmicutes,Du2023
MAG_388,dairy,90.1,1.9,300,1765046,39.83,8367,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillus wasatchensis,Firmicutes,Du2023
MAG_392,dairy,99.6,0.15,74,1736661,38.88,38008,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Firmicutes,Du2023
MAG_395,dairy,100,0,31,2218530,34.97,88070,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Firmicutes,Du2023
MAG_400,dairy,91.12,3.27,543,2610346,35.38,6266,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis_E,Firmicutes,Du2023
MAG_403,dairy,98.96,1.51,228,2436968,35.56,21746,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis_E,Firmicutes,Du2023
MAG_405,dairy,96.76,1.58,193,2304778,34.98,20652,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,Marinilactibacillus psychrotolerans,Firmicutes,Du2023
MAG_406,dairy,100,0.51,48,3040090,46.62,182532,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Idiomarina,unknown111,Proteobacteria,Du2023
MAG_411,dairy,93.92,1.45,217,2207093,34.78,20197,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Firmicutes,Du2023
MAG_414,dairy,95.15,0.65,172,2304194,43.95,19357,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parabuchneri,Firmicutes,Du2023
MAG_419,dairy,94.03,0.44,130,1882646,39.45,22487,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus raffinolactis_A,Firmicutes,Du2023
MAG_421,dairy,99.38,2.78,91,2869722,44.8,49436,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,Firmicutes,Du2023
MAG_423,dairy,91.94,1.13,267,1690227,39.47,8614,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus raffinolactis_A,Firmicutes,Du2023
MAG_425,dairy,93.78,1.11,143,2164009,46.35,23085,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Firmicutes,Du2023
MAG_426,dairy,99.6,0.34,66,5054908,51.78,200916,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,Proteobacteria,Du2023
MAG_427,dairy,94.83,8.31,298,2640793,39.29,13693,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,unknown119,Firmicutes,Du2023
MAG_428,dairy,91.53,1.12,439,1970518,35.57,5550,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis_E,Firmicutes,Du2023
MAG_430,dairy,98.21,0.62,134,2786984,47.49,33469,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp002810365,Proteobacteria,Du2023
MAG_431,dairy,99.13,0.58,135,4508074,64.2,48794,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium sp004745485,Actinobacteria,Du2023
