mag_id,substrate,completeness,contamination,domain,phylum,class,order,family,genus,species,study_catalog,group
AlvarezOrdonezA_xxxx__Q01-29__bin.15,dairy,81.7,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q01-30__bin.5,dairy,82.8,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q02-27__bin.5,dairy,92.9,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_camemberti,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q02-27__bin.7,dairy,98.4,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q02-27__bin.9,dairy,89.3,0.2,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_racemosus,Carlino2024,Mucoromycota
AlvarezOrdonezA_xxxx__Q02-29__bin.5,dairy,86.2,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q02-29__bin.6,dairy,71,0.6,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_racemosus,Carlino2024,Mucoromycota
AlvarezOrdonezA_xxxx__Q03-29__bin.17,dairy,94.3,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_camemberti,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q03-29__bin.2,dairy,92.2,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,unknown,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q03-30__bin.8,dairy,92.7,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,unknown,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q03-30__bin.4,dairy,94.6,0.3,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_camemberti,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q04-29__bin.7,dairy,94.5,0.3,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q04-29__bin.11,dairy,98.9,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q04-30__bin.20,dairy,92.4,0.3,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q04-30__bin.10,dairy,62.7,0,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q06-29__bin.1,dairy,98.3,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q06-30__bin.1,dairy,79.9,3.4,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unknown,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q06-30__bin.5,dairy,51.8,2.9,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_camemberti,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q06-30__bin.10,dairy,97.2,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q07-29__bin.23,dairy,80.1,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q07-29__bin.16,dairy,93.7,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q07-29__bin.7,dairy,94.7,0.8,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,unknown,unknown,Carlino2024,Mucoromycota
AlvarezOrdonezA_xxxx__Q07-30__bin.17,dairy,87.2,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q07-30__bin.18,dairy,92.8,1,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,unknown,unknown,Carlino2024,Mucoromycota
AlvarezOrdonezA_xxxx__Q07-30__bin.27,dairy,89.1,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q08-29__bin.9,dairy,93.5,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q08-30__bin.19,dairy,58,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
AlvarezOrdonezA_xxxx__Q08-30__bin.7,dairy,71.8,0.4,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
ArikanM_2020__ERS1875938__bin.4,fermented_beverages,99.5,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_bailii,Carlino2024,Ascomycota
ArikanM_2020__ERS1881306__bin.1,fermented_beverages,99.2,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_bailii,Carlino2024,Ascomycota
ArikanM_2020__ERS1937824__bin.2,fermented_beverages,99.5,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_bailii,Carlino2024,Ascomycota
ArikanM_2020__ERS1937969__bin.2,fermented_beverages,97.3,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_bailii,Carlino2024,Ascomycota
ArikanM_2020__ERS1939593__bin.3,fermented_beverages,99.1,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_bailii,Carlino2024,Ascomycota
ArikanM_2020__ERS1939594__bin.1,fermented_beverages,66.2,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_bailii,Carlino2024,Ascomycota
ArikanM_2020__ERS1939655__bin.15,fermented_beverages,96.4,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_bailii,Carlino2024,Ascomycota
ArikanM_2020__ERS1939656__bin.4,fermented_beverages,99.2,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_bailii,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032102__bin.6,dairy,97.7,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032103__bin.7,dairy,98.8,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032104__bin.4,dairy,96.8,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032106__bin.5,dairy,98.5,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032107__bin.7,dairy,97.9,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032110__bin.4,dairy,98.3,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032111__bin.4,dairy,98.4,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032112__bin.12,dairy,62.5,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032118__bin.5,dairy,70.1,0,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032119__bin.9,dairy,75.8,2.4,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032120__bin.6,dairy,71.6,0.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032123__bin.3,dairy,72.8,3.4,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032124__bin.8,dairy,77.7,1.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032125__bin.3,dairy,82.7,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera_jadinii,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032129__bin.5,dairy,65.6,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
BertuzziAS_2018__ERS2032130__bin.3,dairy,53.9,3.5,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
CM_INJERA__injera_E1__bin.22,grains,75.4,1.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_kluyveri,Carlino2024,Ascomycota
CM_INJERA__injera_E1__bin.23,grains,89.6,1.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_kudriavzevii,Carlino2024,Ascomycota
ChaconVargasK_2020__SRS6087094__bin.8,fermented_beverages,50,1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_paradoxus,Carlino2024,Ascomycota
CrovadoreJ_2017__SRS1919172__bin.5,other,61.7,0,Eukaryota,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Neocallimastix,unknown,Carlino2024,Chytridiomycota
DeFilippisF_xxxx__DF_118__bin.9,dairy,93.8,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_roqueforti,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_118__bin.5,dairy,82.9,0,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_15__bin.9,dairy,95.6,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_roqueforti,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_15__bin.7,dairy,77.2,0.5,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,unknown,unknown,unknown,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_18__bin.6,dairy,75.4,0,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_25__bin.7,dairy,94.9,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_roqueforti,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_25__bin.8,dairy,96.3,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_26__bin.9,dairy,94.5,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_sp_SPG_F1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_26__bin.4,dairy,97.7,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_54__bin.9,dairy,97.9,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_59__bin.4,dairy,95.7,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_roqueforti,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_59__bin.6,dairy,77.2,1.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_7__bin.22,dairy,98.1,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_74__bin.4,dairy,95.3,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_roqueforti,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_8__bin.11,dairy,91.1,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_roqueforti,Carlino2024,Ascomycota
DeFilippisF_xxxx__DF_8__bin.6,dairy,96.4,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_1__bin.1,meat,71,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_nalgiovense,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_1__bin.21,meat,79.5,0.9,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_105__bin.14,meat,94.8,0.2,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_nalgiovense,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_105__bin.8,meat,93.2,0.3,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,unknown,unknown,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_12__bin.20,meat,98.5,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_13__bin.1,meat,98.6,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_27__bin.8,meat,57.7,0,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_63__bin.5,meat,74.7,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_78__bin.1,meat,58,1.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_82__bin.12,meat,97.9,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeFilippisF_xxxx__DS_83__bin.12,meat,92.4,0.5,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces_hansenii_group_1,Carlino2024,Ascomycota
DeRoosJ_2020__B13M__bin.2,fermented_beverages,65.9,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces_bruxellensis,Carlino2024,Ascomycota
DeRoosJ_2020__B24M__bin.2,fermented_beverages,91.1,0.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces_custersianus,Carlino2024,Ascomycota
DeRoosJ_2020__B3D__bin.2,fermented_beverages,85.5,1.3,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae,Carlino2024,Ascomycota
DeRoosJ_2020__B3W__bin.1,fermented_beverages,78.5,1.5,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae,Carlino2024,Ascomycota
DuR_2020__DRS139333__bin.13,fermented_beverages,71,0.6,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces_anomalus,Carlino2024,Ascomycota
DuR_2020__DRS139333__bin.16,fermented_beverages,84.8,0.4,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_kudriavzevii,Carlino2024,Ascomycota
DuR_2020__DRS139334__bin.15,fermented_beverages,85.4,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_kudriavzevii,Carlino2024,Ascomycota
DuR_2020__DRS139334__bin.19,fermented_beverages,76.7,0,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_kluyveri,Carlino2024,Ascomycota
DuR_2020__DRS139334__bin.3,fermented_beverages,95,1.7,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae,Carlino2024,Ascomycota
DuR_2020__DRS139335__bin.6,fermented_beverages,70.7,0.1,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_tubingensis,Carlino2024,Ascomycota
DuR_2020__DRS139335__bin.10,fermented_beverages,81.4,0.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_kudriavzevii,Carlino2024,Ascomycota
DuR_2020__DRS139335__bin.17,fermented_beverages,94.6,2.1,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_cerevisiae,Carlino2024,Ascomycota
DuR_2020__DRS139335__bin.20,fermented_beverages,75.9,0.5,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_kluyveri,Carlino2024,Ascomycota
DuR_2020__DRS139335__bin.25,fermented_beverages,65,0,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera_fabianii,Carlino2024,Ascomycota
