ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
5698,,,,,,#Engineered,#Industrial,"#Engineered product"
5698,,,,,,#Engineered,"#Food production",#Fermented
5698,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
5698,,,,,,#Engineered,"#Food production",#Beverage
5698,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
5698,,,,,,#Engineered,#Industrial,"#Engineered product"
5698,,,,,,#Engineered,"#Food production",#Fermented
5698,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
5700,"Chryseobacterium pallidum","DSM 18015, CCUG 52548","Steel surface of a beer bottling plant###steel surface of a beer-bottling plant",Germany,Europe,#Engineered,"#Food production",#Beverage
5700,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
5700,,,,,,#Engineered,#Industrial,"#Engineered product"
5700,,,,,,#Engineered,"#Food production",#Fermented
5700,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
5700,,,,,,#Engineered,"#Food production",#Beverage
5700,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
5700,,,,,,#Engineered,#Industrial,"#Engineered product"
5700,,,,,,#Engineered,"#Food production",#Fermented
5700,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
5678,"Chryseobacterium shigense","CCUG 55591, CIP 14047, DSM 17126, NCIMB 14047, BAMY 1001, CIP 108958","lactic acid beverage",Japan,Asia,#Engineered,"#Food production",#Beverage
5678,,,,,,#Engineered,"#Food production",#Fermented
5678,,,,,,#Engineered,"#Food production",#Beverage
5678,,,,,,#Engineered,"#Food production",#Fermented
5678,,,,,,#Engineered,"#Food production",#Beverage
5678,,,,,,#Engineered,"#Food production",#Fermented
5701,"Chryseobacterium ureilyticum","DSM 18017, CCUG 52546, CIP 110146","Steel surface of a beer bottling plant###steel surface of a beer-bottling plant",Germany,Europe,#Engineered,"#Food production",#Beverage
5701,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
5701,,,,,,#Engineered,#Industrial,"#Engineered product"
5701,,,,,,#Engineered,"#Food production",#Fermented
5701,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
5701,,,,,,#Engineered,"#Food production",#Beverage
5701,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
5701,,,,,,#Engineered,#Industrial,"#Engineered product"
5701,,,,,,#Engineered,"#Food production",#Fermented
5701,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
5701,,,,,,#Engineered,"#Food production",#Beverage
5701,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
5701,,,,,,#Engineered,#Industrial,"#Engineered product"
5701,,,,,,#Engineered,"#Food production",#Fermented
5701,,,,,,#Engineered,"#Food production","#Bottled, canned, packed food"
132388,"Clostridium liquoris","DSM 100320, ACCC 00785","An old fermentation pit###fermentation pit used for the production of Chinese strong-flavoured liquor",China,Asia,#Engineered,"#Food production",#Beverage
132388,,,,,,#Engineered,"#Food production",
132388,,,,,,#Engineered,#Other,
132388,,,,,,#Engineered,"#Food production",#Fermented
132388,,,,,,#Engineered,"#Food production",#Beverage
132388,,,,,,#Engineered,"#Food production",
132388,,,,,,#Engineered,#Other,
132388,,,,,,#Engineered,"#Food production",#Fermented
130249,"Clostridium swellfunianum","DSM 27788, CICC 10730, JCM 19606","Pit mud of the <I>Luzhou-flavor</I> liquor manufacturer###pit mud of the Chinese <i>Luzhou-flavor</i> liquor manufacturer",China,Asia,#Engineered,"#Food production",#Beverage
130249,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
130249,,,,,,#Engineered,"#Food production",#Fermented
130249,,,,,,#Engineered,"#Food production",#Beverage
130249,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
130249,,,,,,#Engineered,"#Food production",#Fermented
2763,"Clostridium thermopalmarium","DSM 5974, ATCC 51427","palm wine",Senegal,Africa,"#Host Body Product",#Plant,"#Plant sap (Flux)"
2763,,,,,,#Host,#Plants,#Tree
2763,,,,,,#Engineered,"#Food production",#Fermented
2763,,,,,,#Engineered,"#Food production",#Beverage
133504,"Cobetia crustatorum","KCTC 22486, JCM 15644, NRIC 0824","From jogae jeotgal###Jeotgal, traditional Korean fermented seafood###Fermented seafood","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
133504,,,,,,#Engineered,"#Food production",#Seafood
133504,,,,,,#Engineered,"#Food production",#Fermented
133504,,,,,,#Engineered,"#Food production",#Seafood
133504,,,,,,#Engineered,"#Food production",#Fermented
133504,,,,,,#Engineered,"#Food production",#Seafood
23075,"Companilactobacillus ginsenosidimutans","DSM 24154, EMML 3041","Kimchi (Korean fermented food)","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
23075,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
23074,"Companilactobacillus kimchiensis","DSM 24716, JCM 17702, KACC 15533","Kimchi (traditional fermented food)###kimchi, fermented Korean food","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
23074,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
23074,,,,,,#Engineered,"#Food production",#Fermented
23074,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
6578,"Companilactobacillus kimchii","CCUG 45370, ATCC BAA-131, CIP 107019, DSM 13961, JCM 10707, KCTC 8903P, KACC 12383, NBRC 106466, NRIC 0493","Food, Fermented vegetable, Kimchi###fermented vegetable (kimchi)","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
6578,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
6578,,,,,,#Engineered,"#Food production",#Fermented
6578,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
6578,,,,,,#Engineered,"#Food production",#Fermented
6578,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
6578,,,,,,#Engineered,"#Food production",#Fermented
6578,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
6592,"Companilactobacillus mindensis","DSM 14500, CCUG 48642, LMG 21932, TMW 1.80, JCM 12532, CIP 107874, LMG 21508, NBRC 107162","Commercial sourdough###Industrial rye sourdough starter preparation (BRS)###sourdough",Germany,Europe,#Engineered,"#Food production",#Fermented
6592,,,,,,#Engineered,"#Food production",#Fermented
6592,,,,,,#Engineered,"#Food production",#Fermented
6592,,,,,,#Engineered,"#Food production",#Fermented
6577,"Companilactobacillus paralimentarius","DSM 13238, JCM 10415, CCUG 43349, LMG 19152, CIP 106794, NBRC 107152, NCIMB 13723",sourdough,Japan,Asia,#Engineered,"#Food production",#Fermented
6577,,,,,,#Engineered,"#Food production",#Fermented
6577,,,,,,#Engineered,"#Food production",#Fermented
6577,,,,,,#Engineered,"#Food production",#Fermented
4265,"Dietzia alimentaria","DSM 45698, JCM 16360, KACC 21126, NBRC 109780","traditional salt-fermented seafood made of clam jeotgal","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
4265,,,,,,#Engineered,"#Food production",#Seafood
4265,,,,,,#Engineered,"#Food production",#Fermented
4265,,,,,,#Engineered,"#Food production",#Seafood
132178,"Enterobacter hormaechei subsp. xiangfangensis","DSM 101093, CCUG 62994, LMG 27195, NCIMB 14836",Sourdough,China,Asia,#Engineered,"#Food production",#Fermented
132178,,,,,,#Engineered,"#Food production",#Fermented
24005,"Enterococcus olivae","DSM 25431, CCM 8603, CECT 8063","spanish-style green olive fermentations",Spain,Europe,#Engineered,"#Food production",#Fermented
24005,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
24005,,,,,,#Host,#Plants,#Tree
24005,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
132922,"Enterococcus xiangfangensis","DSM 105127, CCM 8607, LMG 27495, NCIMB 14834","traditional pickle",China,Asia,#Engineered,"#Food production",#Fermented
132922,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
141095,"Franconibacter daqui","LMG 29914, CGMCC 1.15944","Daqu sample",China,Asia,#Engineered,"#Food production",#Beverage
141095,,,,,,#Engineered,"#Food production",#Fermented
6463,"Fructilactobacillus fructivorans","DSM 20350, ATCC 15435, JCM 1198, NRIC 1814","Spoiled sake###spoilt sake",,,#Engineered,"#Food production",#Beverage
6463,,,,,,#Environmental,"#Microbial community",
6463,,,,,,#Engineered,"#Food production",#Fermented
6463,,,,,,#Engineered,"#Food production",#Beverage
6463,,,,,,#Environmental,"#Microbial community",
6463,,,,,,#Engineered,"#Food production",#Fermented
6464,"Fructilactobacillus fructivorans","DSM 20607, ATCC 27394, NCDO 1985",wine,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
6464,,,,,,#Host,#Plants,"#Shrub (Scrub)"
6464,,,,,,#Engineered,"#Food production",#Fermented
6464,,,,,,#Engineered,"#Food production",#Beverage
6474,"Fructilactobacillus fructivorans","CCUG 32247, LMG 9478, IAM H42, CIP 103141, LMG 11720, DSM 20571, ATCC 15434, JCM 1199, BCRC 12938, CECT 4136, IFO 15887, JCM 7793, KCTC 3534, NBRC 15887, NCFB 2719, NCIMB 702719, NRIC 0974, NCDO 2719","Food, Spoiled sake###Spoiled sake###Sake,spoiled###spoilt sake",,,#Engineered,"#Food production",#Beverage
6474,,,,,,#Environmental,"#Microbial community",
6474,,,,,,#Engineered,"#Food production",#Fermented
6474,,,,,,#Engineered,"#Food production",#Beverage
6474,,,,,,#Environmental,"#Microbial community",
6474,,,,,,#Engineered,"#Food production",#Fermented
6474,,,,,,#Engineered,"#Food production",#Beverage
6474,,,,,,#Environmental,"#Microbial community",
6474,,,,,,#Engineered,"#Food production",#Fermented
6474,,,,,,#Engineered,"#Food production",#Beverage
6474,,,,,,#Environmental,"#Microbial community",
6474,,,,,,#Engineered,"#Food production",#Fermented
6479,"Fructilactobacillus lindneri","DSM 20690, JCM 11027, CIP 102983, LMG 14528, NCFB 2809","Food, Spoiled beer###Spoiled beer###spoilt beer",,,#Engineered,"#Food production",#Beverage
6479,,,,,,#Environmental,"#Microbial community",
6479,,,,,,#Engineered,"#Food production",#Fermented
6479,,,,,,#Engineered,"#Food production",#Beverage
6479,,,,,,#Environmental,"#Microbial community",
6479,,,,,,#Engineered,"#Food production",#Fermented
6479,,,,,,#Engineered,"#Food production",#Beverage
6479,,,,,,#Environmental,"#Microbial community",
6479,,,,,,#Engineered,"#Food production",#Fermented
6480,"Fructilactobacillus lindneri","DSM 20691, CIP 102984","Food, Spoiled beer###spoilt beer",,,#Engineered,"#Food production",#Beverage
6480,,,,,,#Environmental,"#Microbial community",
6480,,,,,,#Engineered,"#Food production",#Fermented
6480,,,,,,#Engineered,"#Food production",#Beverage
6480,,,,,,#Environmental,"#Microbial community",
6480,,,,,,#Engineered,"#Food production",#Fermented
6481,"Fructilactobacillus lindneri","DSM 20692","spoilt beer",,,#Engineered,"#Food production",#Beverage
6481,,,,,,#Environmental,"#Microbial community",
6481,,,,,,#Engineered,"#Food production",#Fermented
6520,"Fructilactobacillus sanfranciscensis","DSM 20663, ATCC 43332, JCM 11032, CIP 102982","Food, Sour dough###sourdough",,,#Engineered,"#Food production",#Fermented
6520,,,,,,#Engineered,"#Food production",#Fermented
6520,,,,,,#Engineered,"#Food production",#Fermented
6864,"Fructobacillus durionis","DSM 19113, CCUG 49949, CIP 108761, LAB 1679, LMG 22556, JCM 17831, BCRC 81233, CECT 7089, NRIC 0663","Traditional Malaysian acid-fermented condiment (tempoyak)###Tempoyak (Malaysian acid-fermented condiment made from pulp of the durian fruit)###Tempoyak",Malaysia,Asia,#Engineered,"#Food production",#Fermented
6864,,,,,,#Engineered,"#Food production",#Food
6864,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
6864,,,,,,#Engineered,"#Food production",#Fermented
6864,,,,,,#Engineered,"#Food production",#Food
6864,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
6864,,,,,,#Engineered,"#Food production",#Fermented
6864,,,,,,#Engineered,"#Food production",#Food
6864,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
130439,"Garicola koreensis","DSM 28238, JCm 18572, KACC 16909","Seau-jeot, a traditional fermented seafood###saeu-jeot (Korean salted fermented shrimp)","Republic of Korea",Asia,#Engineered,"#Food production",#Fermented
130439,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
130439,,,,,,#Engineered,"#Food production",#Fermented
130439,,,,,,#Engineered,"#Food production","#Vegetable (incl. Grains)"
23501,"Gluconobacter cerevisiae","DSM 27644, LMG 27748, CIP 110637","fermenting lambic beer",Belgium,Europe,#Engineered,"#Food production",#Beverage
23501,,,,,,#Engineered,"#Food production",#Fermented
23501,,,,,,#Engineered,"#Food production",#Beverage
23501,,,,,,#Engineered,"#Food production",#Fermented
49,"Gluconobacter oxydans","DSM 7145, ATCC 19357, NCIB 9013",beer,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
49,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
49,,,,,,#Engineered,"#Food production",#Fermented
49,,,,,,#Engineered,"#Food production",#Beverage
52,"Gluconobacter oxydans","DSM 50049, ATCC 621, CIP 104737, NCIB 7069, NRRL B-72, CCUG 18135, ATCC 33448, NCTC 7069, LMG 1673, NCTC 621, ATCC 23774, JCM 20429, ATCC 23773, BCRC 12581, CCM 1787, IAM 12137, IFO 3130, KCTC 2779, LMG 1400, NBRC 3130, NCIMB 6723, NCTC 6723, CIP 53.162, CCM 1783, IFO 3172, IMET 10507, LMG 1393, NCDO 2008, LMG 1402, LMG 1401, NCIMB 7069","Other, Amstel beer###Beer",Netherlands,Europe,"#Host Body-Site",#Plant,"#Fruit (Seed)"
52,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
52,,,,,,#Engineered,"#Food production",#Fermented
52,,,,,,#Engineered,"#Food production",#Beverage
52,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
52,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
52,,,,,,#Engineered,"#Food production",#Fermented
52,,,,,,#Engineered,"#Food production",#Beverage
23496,"Gluconobacter oxydans","DSM 4494, ATCC 19357, NCIB 9013",beer,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
23496,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
23496,,,,,,#Engineered,"#Food production",#Fermented
23496,,,,,,#Engineered,"#Food production",#Beverage
1466,"Gracilibacillus thailandensis","DSM 23862, JCM 15569, PCU 304, TISTR 1881, CGMCC 1.10450","Fermented fish (<I>pla-ra</I>) in Thailand###fermented fish (pla-ra) from a market###pla-ra (traditional fermented fish)",Thailand,Asia,#Engineered,"#Food production",#Fermented
