mag_id	original_substrate	substrate_category	specific_substrate	source	completeness	contamination	domain	phylum	class	order	family	genus	species	study_catalog	group
MAG_36	yoghurt	yoghurt	yogurt	NA	84.02	7.14	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus	Du2023	Firmicutes
MAG_37	kombucha	fermented_beverages	kombucha	NA	96.3	0	Bacteria	Armatimonadota	Fimbriimonadia	OS-L	GBS-DC	GBS-DC	GBS-DC sp001442985	Du2023	Armatimonadetes
MAG_38	cheese 	dairy	cheese	NA	97.99	6.4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus koreensis	Du2023	Firmicutes
MAG_39	milk kefir	milk kefir	kefir	NA	52.65	3.32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus kefiri	Du2023	Firmicutes
MAG_40	chilli paste	chilli paste	chilli paste	NA	98.86	0.51	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter himalayensis	Du2023	Proteobacteria
MAG_41	nunu	dairy	nunu	NA	77.39	1.42	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	Du2023	Firmicutes
MAG_42	cheese 	dairy	cheese	NA	66.96	7.83	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	unknown127	Du2023	Actinobacteria
MAG_43	cheese 	dairy	cheese	NA	97.91	1.69	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	unknown96	Du2023	Actinobacteria
MAG_44	chinese liquor	fermented_beverages	chinese liquor	NA	90.38	1.23	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici	Du2023	Firmicutes
MAG_45	bean paste	bean paste	bean paste	NA	85.45	0.19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D casseliflavus	Du2023	Firmicutes
MAG_46	chinese liquor	fermented_beverages	chinese liquor	NA	99.06	1.2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	unknown76	Du2023	Firmicutes
MAG_47	cheese 	dairy	cheese	NA	80.92	4.43	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Ancrocorticia	Ancrocorticia populi	Du2023	Actinobacteria
MAG_48	kombucha	fermented_beverages	kombucha	NA	98.12	6.09	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter xylinus_C	Du2023	Proteobacteria
MAG_49	nunu	dairy	nunu	NA	100	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc pseudomesenteroides	Du2023	Firmicutes
MAG_50	cheese 	dairy	cheese	NA	87.18	2.69	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum	Du2023	Firmicutes
MAG_51	cheese 	dairy	cheese	NA	53.73	1.42	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio casei	Du2023	Proteobacteria
MAG_52	kombucha	fermented_beverages	kombucha	NA	90.48	0.55	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unknown2	unknown36	Du2023	Proteobacteria
MAG_53	bean paste	bean paste	bean paste	NA	78.89	6.81	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_C	Bacillus_U	Bacillus_U oleronius	Du2023	Firmicutes
MAG_54	chinese liquor	fermented_beverages	chinese liquor	NA	95.83	3.27	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acetotolerans	Du2023	Firmicutes
MAG_55	yoghurt	yoghurt	yogurt	NA	55.57	0.06	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	Du2023	Firmicutes
MAG_56	cheese 	dairy	cheese	NA	74.34	1.82	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia proteamaculans_B	Du2023	Proteobacteria
MAG_57	bean paste	bean paste	bean paste	NA	60.49	0.44	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium stationis	Du2023	Actinobacteria
MAG_58	milk kefir	milk kefir	kefir	NA	67.43	1.03	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	Du2023	Firmicutes
MAG_59	kimchi	fruits_and_vegetables	kimchi	NA	63.79	6.9	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	unknown42	Du2023	Firmicutes
MAG_60	chinese liquor	fermented_beverages	chinese liquor	NA	98.91	0.83	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus pontis	Du2023	Firmicutes
MAG_61	cheese 	dairy	cheese	NA	89.59	1.16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Du2023	Firmicutes
MAG_62	bean paste	bean paste	bean paste	NA	78.57	6.69	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	unknown143	Du2023	Firmicutes
MAG_63	bean paste	bean paste	bean paste	NA	83.56	2.2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D casseliflavus	Du2023	Firmicutes
MAG_64	milk kefir	milk kefir	kefir	NA	74.64	0.02	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	Du2023	Firmicutes
MAG_65	chilli paste	chilli paste	chilli paste	NA	89.24	3.4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus versmoldensis	Du2023	Firmicutes
MAG_66	cheese 	dairy	cheese	NA	62.69	0.37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	Du2023	Firmicutes
MAG_67	yoghurt	yoghurt	yogurt	NA	96.19	4.52	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	Du2023	Firmicutes
MAG_68	bean paste	bean paste	bean paste	NA	93.1	5.32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D gallinarum	Du2023	Firmicutes
MAG_69	chinese liquor	fermented_beverages	chinese liquor	NA	95.13	8	Bacteria	Firmicutes	Bacilli	Bacillales	Caldibacillaceae	Bacillus_J	Bacillus_J thermoamylovorans	Du2023	Firmicutes
MAG_70	coffee 	coffee 	coffee	NA	88.25	2.78	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp002153485	Du2023	Proteobacteria
MAG_71	chilli paste	chilli paste	chilli paste	NA	86.38	0.24	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus ethanolidurans	Du2023	Firmicutes
MAG_72	cheese 	dairy	cheese	NA	100	0.52	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	Marinomonas	Marinomonas sp000017285	Du2023	Proteobacteria
MAG_73	cheese 	dairy	cheese	NA	99.36	0.55	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp002366815	Du2023	Proteobacteria
MAG_74	cheese 	dairy	cheese	NA	87.16	8.26	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	unknown101	Du2023	Actinobacteria
MAG_75	chinese liquor	fermented_beverages	chinese liquor	NA	85.83	4.05	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus sp004010095	Du2023	Firmicutes
MAG_76	cheese 	dairy	cheese	NA	97.81	0.73	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	Marinilactibacillus piezotolerans_A	Du2023	Firmicutes
MAG_77	yoghurt	yoghurt	yogurt	NA	82	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	Du2023	Firmicutes
MAG_78	cheese 	dairy	cheese	NA	73.51	5.33	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Du2023	Firmicutes
MAG_79	cheese 	dairy	cheese	NA	56.97	1.63	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Brevibacteriaceae	Brevibacterium	Brevibacterium aurantiacum	Du2023	Actinobacteria
MAG_80	kimchi	fruits_and_vegetables	kimchi	NA	71.73	9.87	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella koreensis	Du2023	Firmicutes
MAG_81	cheese 	dairy	cheese	NA	59.06	5.91	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis_E	Du2023	Firmicutes
MAG_82	cheese 	dairy	cheese	NA	99.14	0.43	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Cobetia	Cobetia amphilecti	Du2023	Proteobacteria
MAG_83	cheese 	dairy	cheese	NA	76.76	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	unknown118	Du2023	Proteobacteria
MAG_84	cheese 	dairy	cheese	NA	99.89	0.8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	Du2023	Firmicutes
MAG_85	cheese 	dairy	cheese	NA	50	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis_E	Du2023	Firmicutes
MAG_86	cheese 	dairy	cheese	NA	89.15	1.29	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	Du2023	Firmicutes
MAG_87	koumiss	dairy	koumiss	NA	99.25	0.01	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium	Du2023	Firmicutes
MAG_88	cheese 	dairy	cheese	NA	57.28	0.34	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	Du2023	Firmicutes
MAG_89	cheese 	dairy	cheese	NA	94.56	1.97	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia proteamaculans_B	Du2023	Proteobacteria
MAG_90	cheese 	dairy	cheese	NA	91.88	1.46	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas distincta	Du2023	Proteobacteria
MAG_91	coffee 	coffee 	coffee	NA	66.09	8.46	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Du2023	Firmicutes
MAG_92	yoghurt	yoghurt	yogurt	NA	87.98	3.37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	Du2023	Firmicutes
MAG_93	cheese 	dairy	cheese	NA	97.08	6.35	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	Du2023	Firmicutes
MAG_94	nunu	dairy	nunu	NA	88.49	1.95	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	Du2023	Proteobacteria
MAG_95	coffee 	coffee 	coffee	NA	54.25	1.76	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc pseudomesenteroides_A	Du2023	Firmicutes
MAG_96	nunu	dairy	nunu	NA	84.3	1.97	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Du2023	Proteobacteria
MAG_97	bean paste	bean paste	bean paste	NA	98.67	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_D	Bacillus_H	Bacillus_H rhizosphaerae	Du2023	Firmicutes
MAG_98	kombucha	fermented_beverages	kombucha	NA	79.4	3.25	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unknown34	Du2023	Proteobacteria
MAG_99	soy sauce	soy	soy sauce	NA	96.42	2.76	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium_B	Du2023	Firmicutes
MAG_100	soy sauce	soy	soy sauce	NA	95.77	1.58	Bacteria	Firmicutes_A	Clostridia	Tissierellales	SIT17	Senegalia	unknown16	Du2023	Firmicutes
MAG_101	cheese 	dairy	cheese	NA	67.24	0.28	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	Du2023	Firmicutes
MAG_102	cheese 	dairy	cheese	NA	100	1.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas sp002332255	Du2023	Proteobacteria
MAG_103	soy sauce	soy	soy sauce	NA	85.68	7.22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus halophilus	Du2023	Firmicutes
MAG_104	koumiss	dairy	koumiss	NA	52.54	1.72	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Du2023	Firmicutes
MAG_105	cheese 	dairy	cheese	NA	70.14	2.37	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp001652315	Du2023	Proteobacteria
MAG_106	cheese 	dairy	cheese	NA	97.12	1.75	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermabacteraceae	Brachybacterium	unknown90	Du2023	Actinobacteria
MAG_107	nunu	dairy	nunu	NA	67.86	8.62	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus	Du2023	Firmicutes
MAG_108	chinese liquor	fermented_beverages	chinese liquor	NA	58.62	3.45	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	Du2023	Firmicutes
MAG_109	coffee 	coffee 	coffee	NA	68.97	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter sp002153485	Du2023	Proteobacteria
MAG_110	cheese 	dairy	cheese	NA	79.33	2.13	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	unknown122	Du2023	Actinobacteria
MAG_111	kombucha	fermented_beverages	kombucha	NA	98.03	1.38	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Du2023	Actinobacteria
MAG_112	soy sauce	soy	soy sauce	NA	99.45	1.1	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus nepalensis	Du2023	Firmicutes
MAG_113	yoghurt	yoghurt	yogurt	NA	71.16	7.77	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis_E	Du2023	Firmicutes
MAG_114	cheese 	dairy	cheese	NA	59.6	8.4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas nigrifaciens	Du2023	Proteobacteria
MAG_115	nunu	dairy	nunu	NA	83.85	2.65	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	Du2023	Firmicutes
MAG_116	coffee 	coffee 	coffee	NA	51.9	1.59	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc pseudomesenteroides_A	Du2023	Firmicutes
MAG_117	cheese 	dairy	cheese	NA	89.41	6.37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	Du2023	Firmicutes
MAG_118	cheese 	dairy	cheese	NA	99.12	0.44	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium casei	Du2023	Actinobacteria
MAG_119	milk kefir	milk kefir	kefir	NA	76.22	0.15	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	Du2023	Firmicutes
MAG_120	soy sauce	soy	soy sauce	NA	50.21	0.26	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Kroppenstedtia	unknown24	Du2023	Firmicutes
MAG_121	chinese liquor	fermented_beverages	chinese liquor	NA	67.16	7.46	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter indonesiensis	Du2023	Proteobacteria
MAG_122	cheese 	dairy	cheese	NA	98.57	0.04	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia flexneri	Du2023	Proteobacteria
MAG_123	coffee 	coffee 	coffee	NA	68.31	4.44	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter orientalis	Du2023	Proteobacteria
MAG_124	cheese 	dairy	cheese	NA	99.35	0.58	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter himalayensis	Du2023	Proteobacteria
MAG_125	bean paste	bean paste	bean paste	NA	99.62	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium_B	Du2023	Firmicutes
MAG_126	kimchi	fruits_and_vegetables	kimchi	NA	66.83	0.54	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus curvatus	Du2023	Firmicutes
MAG_127	cheese 	dairy	cheese	NA	97.87	1.11	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Hafnia	Hafnia paralvei	Du2023	Proteobacteria
MAG_128	cheese 	dairy	cheese	NA	64.29	2.05	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	unknown134	Du2023	Actinobacteria
MAG_129	koumiss	dairy	koumiss	NA	97.13	0.39	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	Du2023	Firmicutes
MAG_130	cheese 	dairy	cheese	NA	51.65	8.46	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	unknown123	Du2023	Proteobacteria
MAG_131	bean paste	bean paste	bean paste	NA	83.22	1.63	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_C	Bacillus_U	Bacillus_U oleronius	Du2023	Firmicutes
MAG_132	chinese liquor	fermented_beverages	chinese liquor	NA	66.27	9.79	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc pseudomesenteroides_A	Du2023	Firmicutes
MAG_133	coffee 	coffee 	coffee	NA	69.66	2.95	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter orientalis	Du2023	Proteobacteria
MAG_134	chinese liquor	fermented_beverages	chinese liquor	NA	74.38	4.86	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus coryniformis	Du2023	Firmicutes
