study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_strategy	read_count	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
PRJEB39163	SAMEA7032143	ERX4259858	ERR4311215	256318	metagenome	11442.BLANK22.10H	AMPLICON	273	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK22.10H	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311215/ERR4311215.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311215/11442.BLANK22.10H.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/005/ERR4311215	qiita_sid_11442:11442.BLANK22.10H	11442.BLANK22.10H	
PRJEB39163	SAMEA7032144	ERX4259859	ERR4311216	256318	metagenome	11442.BLANK23.11A	AMPLICON	15011	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK23.11A	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311216/ERR4311216.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311216/11442.BLANK23.11A.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/006/ERR4311216	qiita_sid_11442:11442.BLANK23.11A	11442.BLANK23.11A	
PRJEB39163	SAMEA7032145	ERX4259860	ERR4311217	256318	metagenome	11442.BLANK23.11B	AMPLICON	23	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK23.11B	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311217/ERR4311217.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311217/11442.BLANK23.11B.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/007/ERR4311217	qiita_sid_11442:11442.BLANK23.11B	11442.BLANK23.11B	
PRJEB39163	SAMEA7032149	ERX4259864	ERR4311221	256318	metagenome	11442.BLANK23.11F	AMPLICON	37	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK23.11F	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311221/ERR4311221.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311221/11442.BLANK23.11F.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/001/ERR4311221	qiita_sid_11442:11442.BLANK23.11F	11442.BLANK23.11F	
PRJEB39163	SAMEA7032151	ERX4259866	ERR4311223	256318	metagenome	11442.BLANK23.11H	AMPLICON	821	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK23.11H	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311223/ERR4311223.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311223/11442.BLANK23.11H.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/003/ERR4311223	qiita_sid_11442:11442.BLANK23.11H	11442.BLANK23.11H	
PRJEB39163	SAMEA7032154	ERX4259869	ERR4311226	256318	metagenome	11442.BLANK24.12G	AMPLICON	28	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK24.12G	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311226/ERR4311226.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311226/11442.BLANK24.12G.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/006/ERR4311226	qiita_sid_11442:11442.BLANK24.12G	11442.BLANK24.12G	
PRJEB39163	SAMEA7032158	ERX4259873	ERR4311230	256318	metagenome	11442.BLANK25.1G	AMPLICON	20	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK25.1G	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311230/ERR4311230.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311230/11442.BLANK25.1G.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/000/ERR4311230	qiita_sid_11442:11442.BLANK25.1G	11442.BLANK25.1G	
PRJEB39163	SAMEA7032159	ERX4259874	ERR4311231	256318	metagenome	11442.BLANK25.1H	AMPLICON	84	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.BLANK25.1H	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311231/ERR4311231.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311231/11442.BLANK25.1H.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/001/ERR4311231	qiita_sid_11442:11442.BLANK25.1H	11442.BLANK25.1H	
PRJEB39163	SAMEA7032161	ERX4259876	ERR4311233	1154581	food fermentation metagenome	11442.G72479	AMPLICON	417589	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G72479	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311233/ERR4311233.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311233/11442.G72479.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/003/ERR4311233	qiita_sid_11442:11442.G72479	11442.G72479	
PRJEB39163	SAMEA7032162	ERX4259877	ERR4311234	870726	food metagenome	11442.G72801	AMPLICON	1118931	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G72801	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311234/ERR4311234.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311234/11442.G72801.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/004/ERR4311234	qiita_sid_11442:11442.G72801	11442.G72801	
PRJEB39163	SAMEA7032165	ERX4259880	ERR4311237	1154581	food fermentation metagenome	11442.G73471	AMPLICON	23264	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G73471	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311237/ERR4311237.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311237/11442.G73471.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/007/ERR4311237	qiita_sid_11442:11442.G73471	11442.G73471	
PRJEB39163	SAMEA7032175	ERX4259890	ERR4311247	1154581	food fermentation metagenome	11442.G73503	AMPLICON	1018490	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G73503	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311247/ERR4311247.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311247/11442.G73503.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/007/ERR4311247	qiita_sid_11442:11442.G73503	11442.G73503	
PRJEB39163	SAMEA7032178	ERX4259893	ERR4311250	1154581	food fermentation metagenome	11442.G73510	AMPLICON	198097	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G73510	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311250/ERR4311250.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311250/11442.G73510.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/000/ERR4311250	qiita_sid_11442:11442.G73510	11442.G73510	
PRJEB39163	SAMEA7032181	ERX4259896	ERR4311253	1154581	food fermentation metagenome	11442.G73515	AMPLICON	373630	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G73515	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311253/ERR4311253.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311253/11442.G73515.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/003/ERR4311253	qiita_sid_11442:11442.G73515	11442.G73515	
PRJEB39163	SAMEA7032186	ERX4259901	ERR4311258	870726	food metagenome	11442.G73637	AMPLICON	507196	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G73637	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311258/ERR4311258.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311258/11442.G73637.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/008/ERR4311258	qiita_sid_11442:11442.G73637	11442.G73637	
PRJEB39163	SAMEA7032187	ERX4259902	ERR4311259	1154581	food fermentation metagenome	11442.G73638	AMPLICON	743496	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G73638	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311259/ERR4311259.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311259/11442.G73638.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/009/ERR4311259	qiita_sid_11442:11442.G73638	11442.G73638	
PRJEB39163	SAMEA7032189	ERX4259904	ERR4311261	870726	food metagenome	11442.G73718	AMPLICON	266129	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G73718	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311261/ERR4311261.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311261/11442.G73718.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/001/ERR4311261	qiita_sid_11442:11442.G73718	11442.G73718	
PRJEB39163	SAMEA7032193	ERX4259908	ERR4311265	870726	food metagenome	11442.G73994	AMPLICON	388644	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G73994	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311265/ERR4311265.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311265/11442.G73994.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/005/ERR4311265	qiita_sid_11442:11442.G73994	11442.G73994	
PRJEB39163	SAMEA7032197	ERX4259912	ERR4311269	1154581	food fermentation metagenome	11442.G74059	AMPLICON	1316444	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G74059	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311269/ERR4311269.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311269/11442.G74059.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/009/ERR4311269	qiita_sid_11442:11442.G74059	11442.G74059	
PRJEB39163	SAMEA7032198	ERX4259913	ERR4311270	1154581	food fermentation metagenome	11442.G74060	AMPLICON	1037673	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G74060	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311270/ERR4311270.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311270/11442.G74060.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/000/ERR4311270	qiita_sid_11442:11442.G74060	11442.G74060	
PRJEB39163	SAMEA7032204	ERX4259919	ERR4311276	1154581	food fermentation metagenome	11442.G74092	AMPLICON	367636	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G74092	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311276/ERR4311276.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311276/11442.G74092.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/006/ERR4311276	qiita_sid_11442:11442.G74092	11442.G74092	
PRJEB39163	SAMEA7032213	ERX4259928	ERR4311285	870726	food metagenome	11442.G75119	AMPLICON	274393	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311285/ERR4311285.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311285/11442.G75119.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/005/ERR4311285	qiita_sid_11442:11442.G75119	11442.G75119	
PRJEB39163	SAMEA7032214	ERX4259929	ERR4311286	870726	food metagenome	11442.G75218	AMPLICON	9237	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75218	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311286/ERR4311286.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311286/11442.G75218.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/006/ERR4311286	qiita_sid_11442:11442.G75218	11442.G75218	
PRJEB39163	SAMEA7032215	ERX4259930	ERR4311287	1154581	food fermentation metagenome	11442.G75219	AMPLICON	7977	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75219	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311287/ERR4311287.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311287/11442.G75219.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/007/ERR4311287	qiita_sid_11442:11442.G75219	11442.G75219	
PRJEB39163	SAMEA7032217	ERX4259932	ERR4311289	1154581	food fermentation metagenome	11442.G75221	AMPLICON	102828	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75221	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311289/ERR4311289.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311289/11442.G75221.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/009/ERR4311289	qiita_sid_11442:11442.G75221	11442.G75221	
PRJEB39163	SAMEA7032218	ERX4259933	ERR4311290	1154581	food fermentation metagenome	11442.G75222	AMPLICON	13	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311290/ERR4311290.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311290/11442.G75222.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/000/ERR4311290	qiita_sid_11442:11442.G75222	11442.G75222	
PRJEB39163	SAMEA7032220	ERX4259935	ERR4311292	1154581	food fermentation metagenome	11442.G75231	AMPLICON	27	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311292/ERR4311292.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311292/11442.G75231.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/002/ERR4311292	qiita_sid_11442:11442.G75231	11442.G75231	
PRJEB39163	SAMEA7032226	ERX4259941	ERR4311298	1154581	food fermentation metagenome	11442.G75261	AMPLICON	7520	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75261	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311298/ERR4311298.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311298/11442.G75261.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/008/ERR4311298	qiita_sid_11442:11442.G75261	11442.G75261	
PRJEB39163	SAMEA7032228	ERX4259943	ERR4311300	1154581	food fermentation metagenome	11442.G75263	AMPLICON	5563	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75263	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311300/ERR4311300.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311300/11442.G75263.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/000/ERR4311300	qiita_sid_11442:11442.G75263	11442.G75263	
PRJEB39163	SAMEA7032232	ERX4259947	ERR4311304	1154581	food fermentation metagenome	11442.G75651	AMPLICON	888021	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75651	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311304/ERR4311304.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311304/11442.G75651.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/004/ERR4311304	qiita_sid_11442:11442.G75651	11442.G75651	
PRJEB39163	SAMEA7032237	ERX4259952	ERR4311309	870726	food metagenome	11442.G75657	AMPLICON	592057	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75657	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311309/ERR4311309.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311309/11442.G75657.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/009/ERR4311309	qiita_sid_11442:11442.G75657	11442.G75657	
PRJEB39163	SAMEA7032243	ERX4259958	ERR4311315	870726	food metagenome	11442.G75664	AMPLICON	508104	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75664	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311315/ERR4311315.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311315/11442.G75664.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/005/ERR4311315	qiita_sid_11442:11442.G75664	11442.G75664	
PRJEB39163	SAMEA7032249	ERX4259964	ERR4311321	1154581	food fermentation metagenome	11442.G75750	AMPLICON	811781	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75750	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311321/ERR4311321.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311321/11442.G75750.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/001/ERR4311321	qiita_sid_11442:11442.G75750	11442.G75750	
PRJEB39163	SAMEA7032250	ERX4259965	ERR4311322	870726	food metagenome	11442.G75781	AMPLICON	26531	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75781	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311322/ERR4311322.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311322/11442.G75781.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/002/ERR4311322	qiita_sid_11442:11442.G75781	11442.G75781	
PRJEB39163	SAMEA7032252	ERX4259967	ERR4311324	870726	food metagenome	11442.G75783	AMPLICON	296116	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75783	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311324/ERR4311324.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311324/11442.G75783.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/004/ERR4311324	qiita_sid_11442:11442.G75783	11442.G75783	
PRJEB39163	SAMEA7032254	ERX4259969	ERR4311326	870726	food metagenome	11442.G75785	AMPLICON	527525	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75785	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311326/ERR4311326.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311326/11442.G75785.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/006/ERR4311326	qiita_sid_11442:11442.G75785	11442.G75785	
PRJEB39163	SAMEA7032255	ERX4259970	ERR4311327	870726	food metagenome	11442.G75786	AMPLICON	175711	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311327/ERR4311327.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311327/11442.G75786.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/007/ERR4311327	qiita_sid_11442:11442.G75786	11442.G75786	
PRJEB39163	SAMEA7032261	ERX4259976	ERR4311333	870726	food metagenome	11442.G75792	AMPLICON	317978	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75792	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311333/ERR4311333.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311333/11442.G75792.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/003/ERR4311333	qiita_sid_11442:11442.G75792	11442.G75792	
PRJEB39163	SAMEA7032262	ERX4259977	ERR4311334	870726	food metagenome	11442.G75793	AMPLICON	237449	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75793	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311334/ERR4311334.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311334/11442.G75793.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/004/ERR4311334	qiita_sid_11442:11442.G75793	11442.G75793	
PRJEB39163	SAMEA7032266	ERX4259981	ERR4311338	870726	food metagenome	11442.G75797	AMPLICON	492446	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75797	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311338/ERR4311338.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311338/11442.G75797.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/008/ERR4311338	qiita_sid_11442:11442.G75797	11442.G75797	
PRJEB39163	SAMEA7032267	ERX4259982	ERR4311339	870726	food metagenome	11442.G75798	AMPLICON	445309	Illumina HiSeq 4000 sequencing: qiita_ptid_7604:11442.G75798	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311339/ERR4311339.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR431/ERR4311339/11442.G75798.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR431/009/ERR4311339	qiita_sid_11442:11442.G75798	11442.G75798	
